Name,cvss,description,detection_method,detection_result,efdec65ce341 login:,host,impact,insight,instances,log_method,metasploit.com,plugin,plugin_details,port,product_detection_result,protocol,references,severity,solution,source,source_file
"PHP 5.3.7 - 7.3.31, 7.4.x < 7.4.25, 8.0.x < 8.0.12 Security Update (Oct 2021) - Linux",7.0,['PHP released new versions which includes a security fix.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP 5.3.7 - 7.3.31, 7.4.x < 7.4.25, 8.0.x < 8.0.12 Security Update (Oct 2021) -', 'OID:1.3.6.1.4.1.25623.1.0.117752', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 7.3.32 (not released yet)', 'path / port: 80/tcp']",,172.31.1.107,[],['Fixed bug #81026 (PHP-FPM oob R/W in root process leading to privilege escalation).'],[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2021-21703', 'url: https://www.php.net/ChangeLog-7.php#7.3.32', 'url: https://www.php.net/ChangeLog-7.php#7.4.25', 'url: https://www.php.net/ChangeLog-8.php#8.0.12', 'url: http://bugs.php.net/81026', 'url: https://www.ambionics.io/blog/php-fpm-local-root', 'cert-bund: WID-SEC-2023-1737', 'cert-bund: WID-SEC-2022-0624', 'cert-bund: WID-SEC-2022-0586', 'cert-bund: CB-K21/1106', 'dfn-cert: DFN-CERT-2023-1600', 'dfn-cert: DFN-CERT-2022-2639', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2022-2337', 'dfn-cert: DFN-CERT-2022-1493', 'dfn-cert: DFN-CERT-2022-1046', 'dfn-cert: DFN-CERT-2022-0485', 'dfn-cert: DFN-CERT-2021-2586', 'dfn-cert: DFN-CERT-2021-2474', 'dfn-cert: DFN-CERT-2021-2200']",HIGH,"['Update to version 7.3.32 (not released yet), 7.4.25, 8.0.12 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
PHP Heap Use-After-Free Vulnerability (Sep 2019) - Linux,6.8,['PHP is prone to a heap-based use-after-free vulnerability.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP Heap Use-After-Free Vulnerability (Sep 2019) - Linux', 'OID:1.3.6.1.4.1.25623.1.0.108635', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 7.1.32', 'path / port: 80/tcp']",,172.31.1.107,[],['PHP is prone to a heap use-after-free in pcrelib (cmb).'],[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['http://bugs.php.net/75457', 'https://www.php.net/ChangeLog-7.php#7.1.32']",MEDIUM,['Update to version 7.1.32 or later.'],OPENVAS,openvas_acgpiano_sqli-labs
Apache HTTP Server Multiple Vulnerabilities (May 2015),6.8,['Apache HTTP Server is prone to a denial of service vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 2.4.7', 'Fixed version: 2.4.10', 'path / port: 80/tcp']",,172.31.1.107,['Successful exploitation will allow a remote attacker to bypass intended access restrictions in opportunistic circumstances by leveraging multiple Require directives.'],"['Multiple flaws are due to:', """"- Vulnerability in the WinNT MPM component within the 'winnt_accept' function in server/mpm/winnt/child.c script that is triggered when the default AcceptFilter is used."""", '- Vulnerability in the mod_deflate module that is triggered when handling highly compressed bodies.', '- A race condition in the mod_status module that is triggered as user-supplied input is not properly validated when handling the scoreboard.', '- Vulnerability in the mod_cgid module that is triggered when used to host CGI scripts that do not consume standard input.']",[],[],,,{},80,"['Product: cpe:/a:apache:http_server:2.4.7', 'Method: Apache HTTP Server Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.117232']",tcp,"['cve: CVE-2014-3523', 'cve: CVE-2014-0118', 'cve: CVE-2014-0226', 'cve: CVE-2014-0231', 'url: http://httpd.apache.org/security/vulnerabilities_24.html', 'url: http://www.securityfocus.com/bid/73040', 'url: http://www.rapid7.com/db/vulnerabilities/apache-httpd-cve-2014-8109', 'cert-bund: CB-K16/1972', 'cert-bund: CB-K15/1517', 'cert-bund: CB-K15/0960', 'cert-bund: CB-K15/0806', 'cert-bund: CB-K15/0493', 'cert-bund: CB-K15/0079', 'cert-bund: CB-K15/0075', 'cert-bund: CB-K14/1568', 'cert-bund: CB-K14/1095', 'cert-bund: CB-K14/1050', 'cert-bund: CB-K14/1043', 'cert-bund: CB-K14/0969', 'cert-bund: CB-K14/0968']",MEDIUM,['Update to version 2.4.10 or later.'],OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 5.4.40, 5.5.x < 5.5.24, 5.6.x < 5.6.8 Improper Input Validation Vulnerability (Jun 2015) - Linux",6.8,['PHP is prone to an improper input validation vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 5.5.24', 'path / port: 80/tcp']",,172.31.1.107,['Successfully exploiting this issue allow remote attackers to cause a denial of service or possibly execute arbitrary code via pipelined HTTP requests.'],"[""""The flaw is due to vulnerability in 'php_handler' function in sapi/apache2handler/sapi_apache2.c script in PHP.""""]",[],[],,,{},80,"['cpe:/a:php:php:5.5.9', 'Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2015-3330', 'url: http://php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/74204', 'url: https://bugs.php.net/bug.php?id=69085', 'url: http://openwall.com/lists/oss-security/2015/06/01/4', 'cert-bund: CB-K15/1437', 'cert-bund: CB-K15/1188', 'cert-bund: CB-K15/0880', 'cert-bund: CB-K15/0854', 'cert-bund: CB-K15/0665', 'cert-bund: CB-K15/0648', 'cert-bund: CB-K15/0561', 'dfn-cert: DFN-CERT-2015-1514', 'dfn-cert: DFN-CERT-2015-1252', 'dfn-cert: DFN-CERT-2015-0926', 'dfn-cert: DFN-CERT-2015-0900', 'dfn-cert: DFN-CERT-2015-0697', 'dfn-cert: DFN-CERT-2015-0677', 'dfn-cert: DFN-CERT-2015-0583']",MEDIUM,"['Update to version 5.4.40, 5.5.24, 5.6.8 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP 5.4.x < 5.4.32, 5.5.x < 5.5.15 Multiple Vulnerabilities (Aug 2014)",6.8,['PHP is prone to multiple vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 5.5.16', 'path / port: 80/tcp']",,172.31.1.107,"['Successful exploitation will allow remote attackers to overwrite arbitrary files, conduct denial of service attacks or potentially execute arbitrary code.']","['The following flaws exist:', """"- CVE-2014-3597: Multiple overflow conditions in the 'php_parserr' function within ext/standard/dns.c script."""", """"- CVE-2014-3587: Integer overflow in the 'cdf_read_property_info' function in cdf.c within the Fileinfo component."""", """"- CVE-2014-5120: An error in the '_php_image_output_ctx' function within ext/gd/gd_ctx.c script as NULL bytes in paths to various image handling functions are not stripped.""""]",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2014-3587', 'cve: CVE-2014-3597', 'cve: CVE-2014-5120', 'url: http://php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/69322', 'url: http://www.securityfocus.com/bid/69325', 'url: http://www.securityfocus.com/bid/69375', 'url: http://secunia.com/advisories/59709', 'url: http://secunia.com/advisories/57349', 'cert-bund: CB-K16/1499', 'cert-bund: CB-K16/1440', 'cert-bund: CB-K16/1345', 'cert-bund: CB-K16/1315', 'cert-bund: CB-K16/0944', 'cert-bund: CB-K16/0692', 'cert-bund: CB-K15/1704', 'cert-bund: CB-K15/0774', 'cert-bund: CB-K15/0493', 'cert-bund: CB-K14/1359', 'cert-bund: CB-K14/1215', 'cert-bund: CB-K14/1214', 'cert-bund: CB-K14/1167', 'cert-bund: CB-K14/1130', 'cert-bund: CB-K14/1117', 'cert-bund: CB-K14/1054', 'cert-bund: CB-K14/1051', 'cert-bund: CB-K14/1045', 'dfn-cert: DFN-CERT-2016-1590', 'dfn-cert: DFN-CERT-2016-1526', 'dfn-cert: DFN-CERT-2016-1431', 'dfn-cert: DFN-CERT-2016-1401', 'dfn-cert: DFN-CERT-2016-1004', 'dfn-cert: DFN-CERT-2016-0752', 'dfn-cert: DFN-CERT-2015-1799', 'dfn-cert: DFN-CERT-2015-0815', 'dfn-cert: DFN-CERT-2014-1434', 'dfn-cert: DFN-CERT-2014-1280', 'dfn-cert: DFN-CERT-2014-1279', 'dfn-cert: DFN-CERT-2014-1219', 'dfn-cert: DFN-CERT-2014-1181', 'dfn-cert: DFN-CERT-2014-1176', 'dfn-cert: DFN-CERT-2014-1103', 'dfn-cert: DFN-CERT-2014-1098', 'dfn-cert: DFN-CERT-2014-1095', 'dfn-cert: DFN-CERT-2014-1092']",MEDIUM,"['Update to version 5.4.32, 5.5.16 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 5.5.30, 5.6.x < 5.6.14 Multiple DoS Vulnerabilities - Linux",6.8,['PHP is prone to multiple denial of service (DoS) vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 5.5.30', 'path / port: 80/tcp']",,172.31.1.107,['Successfully exploiting these issues allow remote attackers to cause a denial of service (NULL pointer dereference and application crash).'],"['The following flaws exist:', """"- CVE-2015-7804: Off-by-one error in the 'phar_parse_zipfile' function within ext/phar/zip.c script."""", """"- CVE-2015-7803: An error in the 'phar_get_entry_data' function in ext/phar/util.c script.""""]",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2015-7803', 'cve: CVE-2015-7804', 'url: http://www.php.net/ChangeLog-5.php', 'url: http://www.securityfocus.com/bid/76959', 'url: https://bugs.php.net/bug.php?id=70433', 'url: http://www.openwall.com/lists/oss-security/2015/10/05/8', 'cert-bund: CB-K16/0944', 'cert-bund: CB-K16/0912', 'cert-bund: CB-K16/0623', 'cert-bund: CB-K16/0422', 'cert-bund: CB-K16/0161', 'cert-bund: CB-K16/0136', 'cert-bund: CB-K15/1792', 'cert-bund: CB-K15/1453', 'dfn-cert: DFN-CERT-2016-1004', 'dfn-cert: DFN-CERT-2016-0972', 'dfn-cert: DFN-CERT-2016-0676', 'dfn-cert: DFN-CERT-2016-0460', 'dfn-cert: DFN-CERT-2016-0176', 'dfn-cert: DFN-CERT-2016-0154', 'dfn-cert: DFN-CERT-2015-1898', 'dfn-cert: DFN-CERT-2015-1530']",MEDIUM,"['Update to version 5.5.30, 5.6.14 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 7.2.34, 7.3 < 7.3.23, 7.4 < 7.4.11 Multiple Vulnerabilities (Oct 2020) - Linux",6.5,['PHP is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 7.2.34, 7.3 < 7.3.23, 7.4 < 7.4.11 Multiple Vulnerabilities (Oct 2020) - ...', 'OID:1.3.6.1.4.1.25623.1.0.144694', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 7.2.34', 'Installation', 'path / port: 80/tcp']",,172.31.1.107,[],"['The following vulnerabilities exist:', '- Wrong ciphertext/tag in AES-CCM encryption for a 12 bytes IV (CVE-2020-7069)', """"- PHP parses encoded cookie names so malicious '__Host-' cookies can be sent (CVE-2020-7070)""""]",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2020-7069', 'cve: CVE-2020-7070', 'url: https://www.php.net/ChangeLog-7.php#7.2.34', 'url: https://www.php.net/ChangeLog-7.php#7.3.23', 'url: https://www.php.net/ChangeLog-7.php#7.4.11', 'cert-bund: WID-SEC-2022-2115', 'cert-bund: CB-K20/0949', 'dfn-cert: DFN-CERT-2022-2639', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2021-2373', 'dfn-cert: DFN-CERT-2021-1645', 'dfn-cert: DFN-CERT-2021-0380', 'dfn-cert: DFN-CERT-2021-0002', 'dfn-cert: DFN-CERT-2020-2187']",MEDIUM,"['Solution type: VendorFix', 'Update to version 7.2.34, 7.3.23, 7.4.11 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 7.3.31, 7.4.x < 7.4.24, 8.0.x < 8.0.11 Security Update (Sep 2021) - Linux",6.5,['PHP released new versions which includes a security fix.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 7.3.31, 7.4.x < 7.4.24, 8.0.x < 8.0.11 Security Update (Sep 2021) - Linux', 'OID:1.3.6.1.4.1.25623.1.0.117694', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 7.3.31', 'Installation', 'path / port: 80/tcp']",,172.31.1.107,[],['Fixed bug #81420 (ZipArchive::extractTo extracts outside of destination).'],[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,['cve: CVE-2021-21706'],MEDIUM,"['Solution type: VendorFix', 'Update to version 7.3.31, 7.4.24, 8.0.11 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP 5.x < 7.1.20, 7.2.x < 7.2.8, 7.3.0alpha1 < 7.3.0alpha3 DoS Vulnerability - Linux",6.5,['PHP is prone to a denial of service (DoS) vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 7.1.20', 'path / port: 80/tcp']",,172.31.1.107,"['Successfully exploitation will allow an attacker to consume 100% of the CPU, and consume disk space with a large volume of error logs, as demonstrated by an attack by a customer of a shared-hosting facility.']",['The flaw exists due to the php-fpm master process restarts a child process in an endless loop when using program execution functions with a non-blocking STDIN stream.'],[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2015-9253', 'url: https://bugs.php.net/bug.php?id=73342', 'url: https://bugs.php.net/bug.php?id=70185', 'url: https://github.com/php/php-src/pull/3287', 'url: https://www.futureweb.at/security/CVE-2015-9253', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2022-0485', 'dfn-cert: DFN-CERT-2022-0455', 'dfn-cert: DFN-CERT-2022-0431', 'dfn-cert: DFN-CERT-2020-0337', 'dfn-cert: DFN-CERT-2018-1882']",MEDIUM,"['Update to version 7.1.20, 7.2.8, 7.3.0alpha3 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
PHP < 7.2.26 Multiple Vulnerabilities (Dec 2019) - Linux,6.5,['PHP is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 7.2.26 Multiple Vulnerabilities (Dec 2019) - Linux', 'OID:1.3.6.1.4.1.25623.1.0.143276', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 7.2.26', 'path / port: 80/tcp']",,172.31.1.107,[],"['PHP is prone to multiple vulnerabilities:', '- Buffer underflow in bc_shift_addsub (CVE-2019-11046)', '- DirectoryIterator class silently truncates after a null byte (CVE-2019-11045)', '- Use-after-free in exif parsing under memory sanitizer (CVE-2019-11050)', '- Heap-buffer-overflow READ in exif (CVE-2019-11047)']",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2019-11045', 'cve: CVE-2019-11046', 'cve: CVE-2019-11047', 'cve: CVE-2019-11050', 'url: https://www.php.net/ChangeLog-7.php#7.2.26', 'cert-bund: WID-SEC-2022-2122', 'cert-bund: CB-K20/1199', 'cert-bund: CB-K19/1099', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2020-2627', 'dfn-cert: DFN-CERT-2020-1964', 'dfn-cert: DFN-CERT-2020-0415', 'dfn-cert: DFN-CERT-2020-0382', 'dfn-cert: DFN-CERT-2020-0339', 'dfn-cert: DFN-CERT-2019-2709', 'dfn-cert: DFN-CERT-2019-2659']",MEDIUM,['Update to version 7.2.26 or later.'],OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 7.4.31, 8.0.x < 8.0.24, 8.1.x < 8.1.11 Security Update - Linux",6.5,['PHP is prone to multiple vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 5.5.9', 'Fixed version: 7.4.31', 'path / port: 80/tcp']",,172.31.1.107,[],"['The following vulnerabilities exist:', """"- CVE-2022-31628: The phar uncompressor code would recursively uncompress 'quines' gzip files, resulting in an infinite loop."""", """"- CVE-2022-31629: The vulnerability enables network and same-site attackers to set a standard insecure cookie in the victim's browser which is treated as a '__Host-' or '__Secure-' cookie by PHP applications.""""]",[],[],,,{},80,"['cpe:/a:php:php:5.5.9', 'Detected by PHP Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2022-31628', 'cve: CVE-2022-31629', 'url: https://www.php.net/ChangeLog-7.php#7.4.31', 'url: https://www.php.net/ChangeLog-8.php#8.0.24', 'url: https://www.php.net/ChangeLog-8.php#8.1.11', 'url: https://bugs.php.net/bug.php?id=81726', 'url: https://bugs.php.net/bug.php?id=81727', 'cert-bund: WID-SEC-2023-1737', 'cert-bund: WID-SEC-2023-0561', 'cert-bund: WID-SEC-2023-0137', 'cert-bund: WID-SEC-2022-1567', 'dfn-cert: DFN-CERT-2024-1192', 'dfn-cert: DFN-CERT-2023-1600', 'dfn-cert: DFN-CERT-2023-0422', 'dfn-cert: DFN-CERT-2022-2869', 'dfn-cert: DFN-CERT-2022-2639', 'dfn-cert: DFN-CERT-2022-2638', 'dfn-cert: DFN-CERT-2022-2598', 'dfn-cert: DFN-CERT-2022-2523', 'dfn-cert: DFN-CERT-2022-2337', 'dfn-cert: DFN-CERT-2022-2157']",MEDIUM,"['Update to version 7.4.31, 8.0.24, 8.1.11 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 5.6.33, 7.x < 7.0.27, 7.1.x < 7.1.13, 7.2.x < 7.2.1 Multiple Vulnerabilities - Linux",6.1,['PHP is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 5.6.33, 7.x < 7.0.27, 7.1.x < 7.1.13, 7.2.x < 7.2.1 Multiple Vulnerabilit...', 'OID:1.3.6.1.4.1.25623.1.0.812735', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 5.6.33', 'path / port: 80/tcp']",,172.31.1.107,"['Successfully exploiting these issues allows attacker to execute arbitrary script code in the browser', 'of an unsuspecting user in the context of the affected site. This may allow the attacker to steal', 'cookie-based authentication credentials and to launch other attacks and will also lead to a denial', 'of service and exhausting the server resources.']","['The following flaws exist:', '- CVE-2018-5712: Input validation error on the PHAR 404 error page via the URI of a request', 'for a .phar file.', '- CVE-2018-5711: Integer signedness error in gd_gif_in.c in the GD Graphics Library (aka', 'libgd).']",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722)']",tcp,"['cve: CVE-2018-5711', 'cve: CVE-2018-5712', 'url: http://php.net/ChangeLog-5.php', 'url: http://php.net/ChangeLog-7.php', 'url: https://bugs.php.net/bug.php?id=74782', 'url: https://bugs.php.net/bug.php?id=75571', 'cert-bund: WID-SEC-2024-0991', 'cert-bund: WID-SEC-2024-0990', 'cert-bund: CB-K20/0307', 'cert-bund: CB-K18/0498', 'cert-bund: CB-K18/0270', 'cert-bund: CB-K18/0188', 'cert-bund: CB-K18/0174', 'dfn-cert: DFN-CERT-2020-0774', 'dfn-cert: DFN-CERT-2020-0680', 'dfn-cert: DFN-CERT-2019-1737', 'dfn-cert: DFN-CERT-2019-0362']",MEDIUM,"['Update to version 5.6.33, 7.0.27, 7.1.13, 7.2.1 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
"PHP < 5.4.38, 5.5.x < 5.5.22, 5.6.x < 5.6.6 XSS Vulnerability (Aug 2016) - Linux",6.1,['PHP is prone to a cross-site scripting (XSS) vulnerability.'],"['Checks if a vulnerable version is present on the target host.', 'Details: PHP < 5.4.38, 5.5.x < 5.5.22, 5.6.x < 5.6.6 XSS Vulnerability (Aug 2016) - Linux', 'OID:1.3.6.1.4.1.25623.1.0.809137', 'Version used: 2025-09-24T05:39:03Z']","['Installed version: 5.5.9', 'Fixed version: 5.5.22', 'path / port: 80/tcp']",,172.31.1.107,"[""""Successfully exploiting this issue allows remote attackers to conduct cross-site scripting (XSS) attacks against Internet Explorer by leveraging '%0A%20' or '%0D%0A%20' mishandling in the header function.""""]","[""""The flaw is due to the 'sapi_header_op' function in 'main/SAPI.c' script supports deprecated line folding without considering browser compatibility.""""]",[],[],,,{},80,"['Product: cpe:/a:php:php:5.5.9', 'Method: PHP Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.171722']",tcp,"['cve: CVE-2015-8935', 'url: https://bugs.php.net/bug.php?id=68978', 'url: http://www.securityfocus.com/bid/92356', 'cert-bund: CB-K16/1614', 'cert-bund: CB-K16/1257', 'cert-bund: CB-K16/1230', 'cert-bund: CB-K16/1179', 'cert-bund: CB-K16/1106', 'cert-bund: CB-K16/1030', 'dfn-cert: DFN-CERT-2016-1719', 'dfn-cert: DFN-CERT-2016-1335', 'dfn-cert: DFN-CERT-2016-1295', 'dfn-cert: DFN-CERT-2016-1253', 'dfn-cert: DFN-CERT-2016-1178', 'dfn-cert: DFN-CERT-2016-1097']",MEDIUM,"['Update to version 5.4.38, 5.5.22, 5.6.6 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
Apache HTTP Server CRLF Injection Vulnerability (Dec 2016) - Linux,6.1,['Apache HTTP Server is prone to a CRLF injection vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 2.4.7', 'Fixed version: 2.4.25', 'Installation path / port: 80/tcp']",,172.31.1.107,[],"[""""Possible CRLF injection allowing HTTP response splitting attacks for sites which use mod_userdir. This issue was mitigated to prohibit CR or LF injection into the 'Location' or other outbound header key or value.""""]",[],[],,,{},80,"['Product: cpe:/a:apache:http_server:2.4.7', 'Method: Apache HTTP Server Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.117232']",tcp,"['cve: CVE-2016-4975', 'url: https://httpd.apache.org/security/vulnerabilities_22.html', 'url: https://httpd.apache.org/security/vulnerabilities_24.html', 'cert-bund: CB-K19/0354', 'dfn-cert: DFN-CERT-2019-0358', 'dfn-cert: DFN-CERT-2018-1764']",MEDIUM,"['Update to version 2.2.32, 2.4.25 or later.']",OPENVAS,openvas_acgpiano_sqli-labs
Apache HTTP Server 2.4.0 < 2.4.42 Multiple Vulnerabilities - Linux,6.1,['Apache HTTP Server is prone to multiple vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 2.4.7', 'Fixed version: 2.4.42', 'path / port: 80/tcp']",,172.31.1.107,[],"['Apache HTTP Server is prone to multiple vulnerabilities:', '- mod_rewrite CWE-601 open redirect (CVE-2020-1927)', '- mod_proxy_ftp use of uninitialized value (CVE-2020-1934)']",[],[],,,{},80,"['Product: cpe:/a:apache:http_server:2.4.7', 'Method: Apache HTTP Server Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.117232)']",tcp,"['cve: CVE-2020-1927', 'cve: CVE-2020-1934', 'url: https://httpd.apache.org/security/vulnerabilities_24.html', 'cert-bund: WID-SEC-2024-1591', 'cert-bund: WID-SEC-2023-0063', 'cert-bund: WID-SEC-2022-0757', 'cert-bund: CB-K20/1030', 'cert-bund: CB-K20/0708', 'cert-bund: CB-K20/0691', 'cert-bund: CB-K20/0280']",MEDIUM,['Update to version 2.4.42 or later.'],OPENVAS,openvas_acgpiano_sqli-labs
Apache HTTP Server 2.4.0 - 2.4.40 Multiple Vulnerabilities - Linux,6.1,['Apache HTTP Server is prone to multiple vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 2.4.7', 'Fixed version: 2.4.41', 'path / port: 80/tcp']",,172.31.1.107,[],"['Apache HTTP server is prone to multiple vulnerabilities:', '- A limited cross-site scripting issue affecting the mod_proxy error page. An attacker could cause the link on the error page to be malformed and instead point to a page of their choice. This would be exploitable where a server was set up with proxying enabled but was misconfigured in such a way that the Proxy Error page was displayed. (CVE-2019-10092)', '- Redirects configured with mod_rewrite that were intended to be self referential might be fooled by encoded newlines and redirect instead to an unexpected URL within the request URL. (CVE-2019-10098)']",[],[],,,{},80,"['Product: cpe:/a:apache:http_server:2.4.7', 'Method: Apache HTTP Server Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.117232']",tcp,"['cve: CVE-2019-10092', 'cve: CVE-2019-10098', 'url: https://httpd.apache.org/security/vulnerabilities_24.html', 'cert-bund: WID-SEC-2024-1591', 'cert-bund: CB-K20/1030', 'cert-bund: CB-K20/0708', 'cert-bund: CB-K20/0043', 'cert-bund: CB-K19/0909', 'cert-bund: CB-K19/0728', 'dfn-cert: DFN-CERT-2021-1333', 'dfn-cert: DFN-CERT-2021-0540', 'dfn-cert: DFN-CERT-2020-2422', 'dfn-cert: DFN-CERT-2020-2133', 'dfn-cert: DFN-CERT-2020-1124', 'dfn-cert: DFN-CERT-2020-0716', 'dfn-cert: DFN-CERT-2020-0090', 'dfn-cert: DFN-CERT-2019-2592', 'dfn-cert: DFN-CERT-2019-2169', 'dfn-cert: DFN-CERT-2019-1961', 'dfn-cert: DFN-CERT-2019-1810', 'dfn-cert: DFN-CERT-2019-1797', 'dfn-cert: DFN-CERT-2019-1751']",MEDIUM,['Update to version 2.4.41 or later.'],OPENVAS,openvas_acgpiano_sqli-labs
