Name,cvss,description,detection_method,detection_result,host,impact,insight,instances,log_method,plugin,plugin_details,port,product_detection_result,protocol,references,severity,solution,source,source_file
Services,['0.0'],"['This plugin performs service detection.', 'Quality of Detection (QoD): 80%']",[],['An ssh server is running on this port'],172.31.1.57,[],"['This plugin attempts to guess which service is running on the remote port(s). For instance, it searches for a web server which could listen on another port than 80 or 443 and makes this information available for other check routines.']",[],"['Details: Services', 'OID:1.3.6.1.4.1.25623.1.0.10330', 'Version used: 2025-03-05T05:38:53Z']",,{},22,[],tcp,[],LOG,[],OPENVAS,openvas_gitea_gitea_1.4.0
SSH Protocol Versions Supported,['0.0'],"['Identication of SSH protocol versions supported by the remote SSH Server. Also reads the corresponding ngerprints from the service.', 'Quality of Detection (QoD): 95%']",[],"['The remote SSH Server supports the following SSH Protocol Versions:', '1.99', '2.0', 'SSHv2 Fingerprint(s):', 'ecdsa-sha2-nistp256: 1b:29:f0:00:d1:89:f0:23:68:70:12:1f:db:f7:f1:c5', 'ssh-ed25519: 0c:fa:d2:96:7a:9a:cb:8c:19:b1:69:74:e7:b6:c1:98', 'ssh-rsa: 1f:02:18:b0:07:bb:55:d3:8d:61:1c:dc:54:2f:b4:16']",172.31.1.57,[],[],[],"['The following versions are tried: 1.33, 1.5, 1.99 and 2.0.', 'Details: SSH Protocol Versions Supported', 'OID:1.3.6.1.4.1.25623.1.0.100259', 'Version used: 2024-06-17T08:31:37Z']",,{},22,[],tcp,[],LOG,[],OPENVAS,openvas_gitea_gitea_1.4.0
SSH Protocol Algorithms Supported,['0.0'],['This script detects which algorithms are supported by the remote SSH service.'],[],"['The following options are supported by the remote SSH service:', 'kex_algorithms:', 'curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256,diffie-hellman-group16-sha512,diffie-hellman-group18-sha512,diffie-hellman-group14-sha256,diffie-hellman-group14-sha1', 'server_host_key_algorithms:', 'ssh-ed25519,ssh-rsa,rsa-sha2-512,rsa-sha2-256,ecdsa-sha2-nistp256', 'encryption_algorithms_client_to_server:', 'chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com', 'encryption_algorithms_server_to_client:', 'chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com', 'mac_algorithms_client_to_server:', 'umac-64-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,umac-64@openssh.com,umac-128@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1', 'mac_algorithms_server_to_client:', 'umac-64-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,umac-64@openssh.com,umac-128@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1', 'compression_algorithms_client_to_server:', 'none,zlib@openssh.com', 'compression_algorithms_server_to_client:', 'none,zlib@openssh.com']",172.31.1.57,[],[],[],"['Details: SSH Protocol Algorithms Supported', 'OID:1.3.6.1.4.1.25623.1.0.105565', 'Version used: 2026-01-21T05:50:46Z']",,{},22,[],tcp,[],LOG,[],OPENVAS,openvas_gitea_gitea_1.4.0
SSH Server type and version,['0.0'],"[""""This detects the SSH Server's type and version by connecting to the server and processing the buer received.""""]",[],"['Remote SSH server banner: SSH-2.0-OpenSSH_7.5', 'Remote SSH supported authentication: publickey', 'Remote SSH text/login banner: (not available)', 'This is probably (a):', '- OpenSSH', 'Concluded from remote connection attempt with credentials:', 'Login: OpenVASVT', 'Password: OpenVASVT']",172.31.1.57,[],['This information gives potential attackers additional information about the system they are attacking. Versions and Types should be omitted where possible.'],[],"['Details: SSH Server type and version', 'OID:1.3.6.1.4.1.25623.1.0.10267', 'Version used: 2025-11-13T05:40:19Z']",,{},22,[],tcp,[],LOG,[],OPENVAS,openvas_gitea_gitea_1.4.0
PQC Key Exchange (KEX) Algorithm(s) Missing (SSH),['0.0'],"['The remote SSH server is configured to NOT allow / support at least ONE Post-Quantum Cryptography (PQC) key exchange (KEX) algorithm(s).', 'Quality of Detection (QoD): 80%']",[],['The remote SSH server is NOT supporting at least ONE PQC KEX algorithm.'],172.31.1.57,"[""""The connection may be vulnerable to 'store now, decrypt later' attacks.""""]",[],[],['Checks the (previously collected) supported KEX algorithms of the remote SSH server.'],,{},22,"['cpe:/a:ietf:secure_shell_protocol', 'Detected by SSH Protocol Algorithms Supported (OID: 1.3.6.1.4.1.25623.1.0.105565)']",tcp,"['https://openssh.com/pq.html', 'https://quantumcomputingreport.com/openssh-10-0-introduces-default-post-quantum-key-exchange-algorithm/', 'https://www.nist.gov/news-events/news/2024/08/nist-releases-first-3-finalized-quantum-resistant-cryptographic-standards']",LOG,"['Update the remote SSH server to a version supporting PQC KEX algorithms (e.g. OpenSSH 8.9 or later) and enable relevant PQC KEX algorithms accordingly.', 'Please see the references/manual of the remote SSH server and/or contact the vendor of it for more support.']",OPENVAS,openvas_gitea_gitea_1.4.0
CPE Inventory,['0.0'],"['This routine uses information collected by other routines about CPE identities of operating systems, services and applications detected during the scan.']",[],"['172.31.1.57|cpe:/a:ietf:secure_shell_protocol:2.0', '172.31.1.57|cpe:/a:jquery:jquery:1.11.3', '172.31.1.57|cpe:/a:openbsd:openssh:7.5', '172.31.1.57|cpe:/o:linux:kernel']",172.31.1.57,[],[],[],['Details: CPE Inventory'],,{},22,[],tcp,['https://nvd.nist.gov/products/cpe'],LOG,[],OPENVAS,openvas_gitea_gitea_1.4.0
CPE Inventory,['0.0'],"['This routine uses information collected by other routines about CPE identities of operating systems, services and applications detected during the scan.', 'Note: Some CPEs for specific products might show up twice or more in the output. Background: After a product got renamed or a specific vendor was acquired by another one it might happen that a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older CPE.']",[],"['172.31.1.57|cpe:/a:ietf:secure_shell_protocol:2.0', '172.31.1.57|cpe:/a:jquery:jquery:1.11.3', '172.31.1.57|cpe:/a:openbsd:openssh:7.5', '172.31.1.57|cpe:/o:linux:kernel']",172.31.1.57,[],[],[],"['Details: CPE Inventory', 'OID:1.3.6.1.4.1.25623.1.0.810002', 'Version used: 2022-07-27T10:11:28Z']",,{},general,[],CPE-T,['url: https://nvd.nist.gov/products/cpe'],LOG,[],OPENVAS,openvas_gitea_gitea_1.4.0
OpenBSD OpenSSH < 9.3p2 RCE Vulnerability,['9.0'],"[""""OpenBSD OpenSSH is prone to a remote code execution (RCE) vulnerability in OpenSSH's forwarded ssh-agent.""""]",['Checks if a vulnerable version is present on the target host.'],"['Installed version: 7.2p2', 'Fixed version: 9.3p2', 'Installation path / port: 22/tcp']",172.31.1.55,"[""""A condition where specific libraries loaded via ssh-agent(1)'s PKCS#11 support could be abused to achieve remote code execution via a forwarded agent socket."""", 'Exploitation requires the presence of specific libraries on the victim system.', 'Remote exploitation requires that the agent was forwarded to an attacker-controlled system.']","[""""A condition where specific libraries loaded via ssh-agent(1)'s PKCS#11 support could be abused to achieve remote code execution via a forwarded agent socket.""""]",[],[],,{},22,"['cpe:/a:openbsd:openssh:7.2p2', 'Detected by OpenSSH Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.108577)']",tcp,"['cve: CVE-2023-38408', 'url: https://www.openssh.com/releasenotes.html#9.3p2', 'url: https://www.qualys.com/2023/07/19/cve-2023-38408/rce-openssh-forwarded-ssh-agent.txt', 'cert-bund: WID-SEC-2024-3195', 'cert-bund: WID-SEC-2024-1248', 'cert-bund: WID-SEC-2024-1082', 'cert-bund: WID-SEC-2024-0064', 'cert-bund: WID-SEC-2023-2679', 'cert-bund: WID-SEC-2023-2625', 'cert-bund: WID-SEC-2023-2240', 'cert-bund: WID-SEC-2023-1843', 'cert-bund: WID-SEC-2023-1819', 'dfn-cert: DFN-CERT-2026-0097', 'dfn-cert: DFN-CERT-2025-2802', 'dfn-cert: DFN-CERT-2024-1260', 'dfn-cert: DFN-CERT-2024-0491', 'dfn-cert: DFN-CERT-2023-2792', 'dfn-cert: DFN-CERT-2023-2179', 'dfn-cert: DFN-CERT-2023-1961', 'dfn-cert: DFN-CERT-2023-1920', 'dfn-cert: DFN-CERT-2023-1845', 'dfn-cert: DFN-CERT-2023-1773', 'dfn-cert: DFN-CERT-2023-1665']",Critical,['Update to version 9.3p2 or later.'],OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
OpenSSH <= 7.2p2 Privilege Escalation Vulnerability (May 2016),['7.8'],['OpenSSH is prone to a privilege escalation vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 7.2p2', 'Fixed version: 7.2p2-3']",172.31.1.55,['Successfully exploiting this issue will allow local users to gain privileges.'],"[""""The aw exists due to an error in 'do_setup_env function' in the 'session.c' script in sshd which trigger a crafted environment for the /bin/login program when the UseLogin feature is enabled and PAM is congured to read .pam_environment les in user home directories.""""]",[],[],,{},22,"['Product: cpe:/a:openbsd:openssh:7.2p2', 'Method: OpenSSH Detection Consolidation']",tcp,"['cve: CVE-2015-8325', 'url: https://people.canonical.com/~ubuntu-security/cve/2015/CVE-2015-8325.html', 'url: https://anongit.mindrot.org/openssh.git/commit/?id=85bdcd7c92fe7ff133bbc4e1->0a65c91810f88755', 'cert-bund: WID-SEC-2024-1053', 'cert-bund: CB-K17/1725', 'cert-bund: CB-K17/0055', 'cert-bund: CB-K17/0054', 'cert-bund: CB-K16/1837', 'cert-bund: CB-K16/1487', 'cert-bund: CB-K16/1485', 'cert-bund: CB-K16/1221', 'cert-bund: CB-K16/0684', 'cert-bund: CB-K16/0577', 'dfn-cert: DFN-CERT-2019-1408', 'dfn-cert: DFN-CERT-2017-1807', 'dfn-cert: DFN-CERT-2017-0060', 'dfn-cert: DFN-CERT-2017-0059', 'dfn-cert: DFN-CERT-2016-1943', 'dfn-cert: DFN-CERT-2016-1576', 'dfn-cert: DFN-CERT-2016-1574', 'dfn-cert: DFN-CERT-2016-1243', 'dfn-cert: DFN-CERT-2016-0864', 'dfn-cert: DFN-CERT-2016-0733', 'dfn-cert: DFN-CERT-2016-0628']",HIGH,['Update to version 7.2p2-3 or later.'],OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
OpenSSH < 7.4 Multiple Vulnerabilities (Jan 2017) - Linux,['7.0'],['OpenSSH is prone to multiple vulnerabilities.'],"['Checks if a vulnerable version is present on the target host.', 'Details: OpenSSH < 7.4 Multiple Vulnerabilities (Jan 2017) - Linux', 'OID:1.3.6.1.4.1.25623.1.0.8103256', 'Version used: 2024-12-13T05:05:32Z']","['Installed version: 7.2p2', 'Fixed version: 7.4', 'Installation path / port: 22/tcp']",172.31.1.55,"['Successfully exploiting this issue allows local users to obtain sensitive private-key information, to gain privileges, conduct a denial-of-service condition and allows remote attackers to execute arbitrary local PKCS#11 modules.']","['Multiple aws exist due to: ', """"- An 'authle.c' script does not properly consider the effects of realloc on buffer contents."""", '- The shared memory manager (associated with pre-authentication compression) does not ensure that a bounds check is enforced by all compilers.', '- The sshd in OpenSSH creates forwarded Unix-domain sockets as root, when privilege separation is not used.', '- An untrusted search path vulnerability in ssh-agent.c in ssh-agent.', '- NULL pointer dereference error due to an out-of-sequence NEWKEYS message.']",[],[],,{},22,"['Product: cpe:/a:openbsd:openssh:7.2p2', 'Method: OpenSSH Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.108577']",tcp,"['cve: CVE-2016-10009', 'cve: CVE-2016-10010', 'cve: CVE-2016-10011', 'cve: CVE-2016-10012', 'cve: CVE-2016-10708', 'url: https://www.openssh.com/txt/release-7.4', 'url: http://www.securityfocus.com/bid/94968', 'url: http://www.securityfocus.com/bid/94972', 'url: http://www.securityfocus.com/bid/94977', 'url: http://www.securityfocus.com/bid/94975', 'url: http://www.openwall.com/lists/oss-security/2016/12/19/2', 'url: http://blog.swiecki.net/2018/01/fuzzing-tcp-servers.html', 'url: https://anongit.mindrot.org/openssh.git/commit/?id=28652bca29046f62c7045e93->3e6b931de1d16737', 'cert-bund: WID-SEC-2023-1996', 'cert-bund: CB-K18/0919', 'cert-bund: CB-K18/0591', 'cert-bund: CB-K18/0137', 'cert-bund: CB-K18/0041', 'cert-bund: CB-K17/2219', 'cert-bund: CB-K17/2112', 'cert-bund: CB-K17/1292', 'cert-bund: CB-K17/1061', 'cert-bund: CB-K17/0527', 'cert-bund: CB-K17/0377', 'cert-bund: CB-K17/0127', 'cert-bund: CB-K17/0041', 'cert-bund: CB-K16/1991', 'dfn-cert: DFN-CERT-2021-0776']",HIGH,"['Solution type: VendorFix', 'Update to version 7.4 or later.']",OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
OpenSSH < 7.3 DoS and User Enumeration Vulnerabilities - Linux,['7.5'],['OpenSSH is prone to denial of service (DoS) and user enumeration vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 7.2p2', 'Fixed version: 7.3', 'Installation path / port: 22/tcp']",172.31.1.55,['Successfully exploiting this issue allows remote attackers to cause a denial of service (crypt CPU consumption) and to enumerate users by leveraging the timing difference between responses when a large password is provided.'],"['Multiple aws exist due to:', """"- The auth_password function in 'auth-passwd.c' script does not limit password lengths for password authentication."""", '- The sshd in OpenSSH, when SHA256 or SHA512 are used for user password hashing uses BLOWFISH hashing on a static password when the username does not exist and it takes much longer to calculate SHA256/SHA512 hash than BLOWFISH hash.']",[],[],,{},22,"['Product: cpe:/a:openbsd:openssh:7.2p2', 'Method: OpenSSH Detection Consolidation']",tcp,"['cve: CVE-2016-6515', 'cve: CVE-2016-6210', 'url: http://www.openssh.com/txt/release-7.3', 'url: http://www.securityfocus.com/bid/92212', 'url: http://seclists.org/fulldisclosure/2016/Jul/51', 'url: https://security-tracker.debian.org/tracker/CVE-2016-6210', 'url: http://openwall.com/lists/oss-security/2016/08/01/2', 'cert-bund: WID-SEC-2023-0450', 'cert-bund: WID-SEC-2023-0449', 'cert-bund: CB-K18/0041', 'cert-bund: CB-K17/2219', 'cert-bund: CB-K17/2112', 'cert-bund: CB-K17/1753', 'cert-bund: CB-K17/1349', 'cert-bund: CB-K17/1292', 'cert-bund: CB-K17/0055', 'cert-bund: CB-K16/1837', 'cert-bund: CB-K16/1629', 'cert-bund: CB-K16/1487', 'cert-bund: CB-K16/1485', 'cert-bund: CB-K16/1252', 'cert-bund: CB-K16/1221', 'cert-bund: CB-K16/1082', 'dfn-cert: DFN-CERT-2023-1920', 'dfn-cert: DFN-CERT-2019-1408', 'dfn-cert: DFN-CERT-2018-1828', 'dfn-cert: DFN-CERT-2018-1070', 'dfn-cert: DFN-CERT-2018-0046', 'dfn-cert: DFN-CERT-2017-2320', 'dfn-cert: DFN-CERT-2017-2208', 'dfn-cert: DFN-CERT-2017-1831', 'dfn-cert: DFN-CERT-2017-1407', 'dfn-cert: DFN-CERT-2017-1340', 'dfn-cert: DFN-CERT-2017-0060', 'dfn-cert: DFN-CERT-2016-1943', 'dfn-cert: DFN-CERT-2016-1729', 'dfn-cert: DFN-CERT-2016-1576', 'dfn-cert: DFN-CERT-2016-1574', 'dfn-cert: DFN-CERT-2016-1331', 'dfn-cert: DFN-CERT-2016-1243', 'dfn-cert: DFN-CERT-2016-1149']",HIGH,['Update to version 7.3 or later.'],OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
"Die-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)",['7.5'],"['The remote SSH server is supporting Die-Hellman ephemeral (DHE) Key Exchange (KEX) algorithms and thus could be prone to a denial of service (DoS) vulnerability.', 'This vulnerability allows remote attackers (from the client side) to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE modular-exponentiation calculations, also known as a D(HE)ater attack.', 'There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe issues such as a slowdown in SSH connections.']",['Checks the supported KEX algorithms of the remote SSH server.'],"['The remote SSH server supports the following DHE KEX algorithm(s):', 'diffie-hellman-group14-sha1', 'diffie-hellman-group-exchange-sha256']",172.31.1.55,"['This vulnerability allows remote attackers (from the client side) to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE modular-exponentiation calculations, also known as a D(HE)ater attack.', 'There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe issues such as a slowdown in SSH connections.']","['CVE-2002-20001: The Die-Hellman Key Agreement Protocol allows remote attackers (from the client side) to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a D(HE)ater attack.', """"CVE-2022-40735: The Die-Hellman Key Agreement Protocol allows use of long exponents that arguably make certain calculations unnecessarily expensive, because the 1996 van Oorschot and Wiener paper found that '(appropriately) short exponents' can be used when there are adequate subgroup constraints, and these short exponents can lead to less expensive calculations than for long exponents."""", 'CVE-2024-41996: Validating the order of the public keys in the Die-Hellman Key Agreement Protocol, when an approved safe prime is used, allows remote attackers (from the client side) to trigger unnecessarily expensive server-side DHE modular-exponentiation calculations.']",[],[],,{},22,['cpe:/a:ietf:secure_shell_protocol'],tcp,"['CVE-2002-20001', 'CVE-2022-40735', 'CVE-2024-41996']",HIGH,"['DHE key exchange should be disabled if no other mitigation mechanism can be used and either elliptic-curve variant of Die-Hellman (ECDHE) or RSA key exchange is supported by the clients. The fact that RSA key exchange is not forward secret should be considered.', """"Limit the maximum number of concurrent connections in e.g. the configuration of the remote server. For OpenSSH this limit can be configured via the 'MaxStartups' option, for other products please refer to the manual of the product in question on configuration possibilities.""""]",OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability,['7.0'],['OpenBSD OpenSSH is prone to a command injection vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 7.2p2', 'Fixed version: None']",172.31.1.55,['Successful exploitation would allow an attacker to execute arbitrary code on the target machine.'],['scp of OpenSSH allows command injection in spc.c via backtick characters in the destination argument.'],[],[],,{},22,"['cpe:/a:openbsd:openssh:7.2p2', 'Detected by OpenSSH Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.108577)']",tcp,[],HIGH,"['No known solution was made available for at least one year since the disclosure of this vulnerability.', 'Likely none will be provided anymore.', 'General solution options are to upgrade to a newer release, disable respective features, remove the product or replace the product by another one.']",OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
OpenBSD OpenSSH through version 8.6 (initially reported for 8.3p1) Command Injection Vulnerability,['7.0'],['Successful exploitation would allow an attacker to execute arbitrary code on the target machine.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 7.2p2', 'Fixed version: None']",172.31.1.55,['Successful exploitation would allow an attacker to execute arbitrary code on the target machine.'],['scp of OpenSSH allows command injection in spc.c via backtick characters in the destination argument.'],[],[],,{},22,"['Product: cpe:/a:openbsd:openssh:7.2p2', 'Method: OpenSSH Detection Consolidation']",tcp,"['cve: CVE-2020-15778', 'url: https://github.com/cpandya2909/CVE-2020-15778/', 'cert-bund: WID-SEC-2024-1082', 'cert-bund: WID-SEC-2023-1599', 'cert-bund: WID-SEC-2022-2413', 'cert-bund: WID-SEC-2022-1308', 'cert-bund: CB-K21/1268', 'dfn-cert: DFN-CERT-2024-1260', 'dfn-cert: DFN-CERT-2020-1691']",HIGH,['No known solution was made available for at least one year since the disclosure of this vulnerability.'],OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
OpenSSH 6.2 <= 8.7 Privilege Escalation Vulnerability,['7.0'],['OpenSSH is prone to a privilege scalation vulnerability in certain congurations.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 7.2p2', 'Fixed version: 8.8']",172.31.1.55,"['Depending on system conguration, inherited groups may allow AuthorizedKeysCom- mand/AuthorizedPrincipalsCommand helper programs to gain unintended privilege.']","['sshd failed to correctly initialise supplemental groups when executing an AuthorizedKeysCom- mand or AuthorizedPrincipalsCommand, where a AuthorizedKeysCommandUser or Authorized- PrincipalsCommandUser directive has been set to run the command as a dierent user.']",[],[],,{},22,"['Product: cpe:/a:openbsd:openssh:7.2p2', 'Method: OpenSSH Detection Consolidation']",tcp,"['cve: CVE-2021-41617', 'url: https://www.openssh.com/txt/release-8.8', 'cert-bund: WID-SEC-2024-1082', 'cert-bund: WID-SEC-2023-1969', 'cert-bund: WID-SEC-2023-0426', 'cert-bund: WID-SEC-2022-1308', 'cert-bund: WID-SEC-2022-0676', 'cert-bund: WID-SEC-2022-0534', 'cert-bund: CB-K22/0310', 'cert-bund: CB-K22/0011', 'cert-bund: CB-K21/1268', 'cert-bund: CB-K21/1017', 'dfn-cert: DFN-CERT-2024-1260', 'dfn-cert: DFN-CERT-2024-0022', 'dfn-cert: DFN-CERT-2023-3218', 'dfn-cert: DFN-CERT-2023-3210', 'dfn-cert: DFN-CERT-2022-1571', 'dfn-cert: DFN-CERT-2022-0579', 'dfn-cert: DFN-CERT-2021-2586', 'dfn-cert: DFN-CERT-2021-2017', 'dfn-cert: DFN-CERT-2021-2015']",HIGH,['Update to version 8.8 or later.'],OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
GitLab Uninitialized Admin Password (HTTP) - Active Check,['7.5'],['The remote GitLab instance is not initialized with an admin password.'],['Sends a crafted HTTP GET request and checks the response.'],"['Vulnerable URLs: ', 'http://gitlab10.trabalho_vulnnet/users/sign_in', 'http://gitlab10.trabalho_vulnnet/users/password/edit?reset_password_token=JiRvy1->5K87HRW-syVhdJ']",172.31.1.55,['An unauthenticated remote user might finish the setup of the remote GitLab instance and take full control over it.'],[],[],[],,{},80,['Quality of Detection (QoD): 98%'],tcp,"['https://docs.gitlab.com/omnibus/installation/#set-up-the-initial-password', 'https://gitlab.com/gitlab-org/omnibus-gitlab/-/merge_requests/5331']",HIGH,['Finish the instance setup by setting an admin password.'],OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
OpenBSD OpenSSH <= 7.9 Multiple Vulnerabilities,['6.8'],['OpenBSD OpenSSH is prone to multiple vulnerabilities.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 7.2p2', 'Fixed version: 8.0']",172.31.1.55,"['The following aws exist:', '- CVE-2018-20685: bypass of intended access restrictions in the scp client', '- CVE-2019-6109, CVE-2019-6110: manipulation of the output in the scp client by a malicious server', '- CVE-2019-6111: overwrite of arbitrary les in the scp client by a malicious server']","['The following aws exist:', '- CVE-2018-20685: bypass of intended access restrictions in the scp client', '- CVE-2019-6109, CVE-2019-6110: manipulation of the output in the scp client by a malicious server', '- CVE-2019-6111: overwrite of arbitrary les in the scp client by a malicious server']",[],[],,{},22,"['Product: cpe:/a:openbsd:openssh:7.2p2', 'Method: OpenSSH Detection Consolidation']",tcp,"['cve: CVE-2018-20685', 'cve: CVE-2019-6109', 'cve: CVE-2019-6110', 'cve: CVE-2019-6111', 'url: https://sintonen.fi/advisories/scp-client-multiple-vulnerabilities.txt', 'url: http://www.openwall.com/lists/oss-security/2019/04/18/1', 'cert-bund: WID-SEC-2024-1082', 'cert-bund: WID-SEC-2024-0872', 'cert-bund: WID-SEC-2023-1995', 'cert-bund: WID-SEC-2023-0561', 'cert-bund: CB-K19/0627', 'cert-bund: CB-K19/0312', 'cert-bund: CB-K19/0058', 'cert-bund: CB-K19/0037', 'dfn-cert: DFN-CERT-2024-1260', 'dfn-cert: DFN-CERT-2019-2157', 'dfn-cert: DFN-CERT-2019-1470', 'dfn-cert: DFN-CERT-2019-0970', 'dfn-cert: DFN-CERT-2019-0776', 'dfn-cert: DFN-CERT-2019-0563', 'dfn-cert: DFN-CERT-2019-0415', 'dfn-cert: DFN-CERT-2019-0357', 'dfn-cert: DFN-CERT-2019-0275', 'dfn-cert: DFN-CERT-2019-0136', 'dfn-cert: DFN-CERT-2019-0094']",MEDIUM,['Update to version 8.0 or later.'],OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
OpenBSD OpenSSH 6.8p1 - 9.9p1 MitM Vulnerability,['6.8'],['OpenBSD OpenSSH is prone to a man-in-the-middle (MitM) vulnerability.'],['Checks if a vulnerable version is present on the target host.'],"['Installed version: 7.2p2', 'Fixed version: 9.9p2']",172.31.1.55,['ssh(1) in OpenSSH contained a logic error that allowed an on-path attacker (a.k.a MITM) to impersonate any server when the VerifyHostKeyDNS option is enabled.'],['ssh(1) in OpenSSH contained a logic error that allowed an on-path attacker (a.k.a MITM) to impersonate any server when the VerifyHostKeyDNS option is enabled.'],[],[],,{},22,"['Product: cpe:/a:openbsd:openssh:7.2p2', 'Method: OpenSSH Detection Consolidation']",tcp,"['dfn-cert: DFN-CERT-2019-0357', 'dfn-cert: DFN-CERT-2019-0275', 'dfn-cert: DFN-CERT-2019-0136', 'dfn-cert: DFN-CERT-2019-0094']",MEDIUM,['Update to version 9.9p2 or later.'],OPENVAS,openvas_gitlab_gitlab-ce_10.0.0-ce.0
