Name,description,detection_result,detection_method,product_detection_result,impact,solution,insight,log_method,cvss,port,protocol,severity,references,plugin,identification,http_info,source,llm,target,host,cve,Quality of Detection (QoD),summary,quality_of_detection,urls,cert-bund,dfn-cert
Cleartext Transmission of Sensitive Information via HTTP,"['The host / application transmits sensitive information (username, passwords) in cleartext via HTTP.']",['The following input fields were identified (URL:input name): http://gitea14.trabalho_vulnnet:3000/install:db_passwd'],"['Evaluate previous collected information and check if the host / application is not enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.', ""The script is currently checking the following: - HTTP Basic Authentication (Basic Auth) - HTTP Forms (e.g. Login) with input eld of type 'password'""]",[],['An attacker could use this situation to compromise or eavesdrop on the HTTP communication between the client and the server using a man-in-the-middle attack to get access to sensitive data like usernames or passwords.'],['Enforce the transmission of sensitive data via an encrypted SSL/TLS connection. Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before allowing to input sensitive data into the mentioned functions.'],[],[],"['0.0', '6.8']",,,LOG,"['https://www.owasp.org/index.php/Top_10_2013-A2-Broken_Authentication_and_Session_Management', 'https://www.owasp.org/index.php/Top_10_2013-A6-Sensitive_Data_Exposure', 'https://cwe.mitre.org/data/definitions/319.html']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenBSD OpenSSH 6.8p1 - 9.9p1 MitM Vulnerability,['OpenBSD OpenSSH is prone to a man-in-the-middle (MitM) vulnerability.'],"['Installed version: 7.5', 'Fixed version: 9.9p2']",['Checks if a vulnerable version is present on the target host.'],['cpe:/a:openbsd:openssh:7.5'],[],['Update to version 9.9p2 or later.'],['ssh(1) in OpenSSH contained a logic error that allowed an on-path attacker (a.k.a MITM) to impersonate any server when the VerifyHostKeyDNS option is enabled. This option is off by default.'],[],['6.8'],22.0,tcp,MEDIUM,"['cve: CVE-2025-26465', 'url: https://www.openssh.com/txt/release-9.9p2', 'url: https://www.openssh.com/security.html', 'url: https://www.qualys.com/2025/02/18/openssh-mitm-dos.txt', 'url: https://blog.qualys.com/vulnerabilities-threat-research/2025/02/18/qualys-t-ru-discovers-two-vulnerabilities-in-openssh-cve-2025-26465-cve-2025-26466', 'url: https://www.openwall.com/lists/oss-security/2025/02/18/1', 'url: https://www.openwall.com/lists/oss-security/2025/02/18/4', 'cert-bund: WID-SEC-2025-1439', 'cert-bund: WID-SEC-2025-1007', 'cert-bund: WID-SEC-2025-0394', 'dfn-cert: DFN-CERT-2026-0097', 'dfn-cert: DFN-CERT-2025-1201', 'dfn-cert: DFN-CERT-2025-1200', 'dfn-cert: DFN-CERT-2025-0993', 'dfn-cert: DFN-CERT-2025-0819', 'dfn-cert: DFN-CERT-2025-0470', 'dfn-cert: DFN-CERT-2025-0428']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenBSD OpenSSH <= 7.9 Multiple Vulnerabilities,[],"['Installed version: 7.5', 'Detected by OpenSSH Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.108577)']",[],['cpe:/a:openbsd:openssh:7.5'],[],[],[],[],[],,,MEDIUM,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenBSD OpenSSH <= 7.9 Multiple Vulnerabilities,['OpenBSD OpenSSH is prone to multiple vulnerabilities.'],"['Installed version: 7.5', 'Fixed version: 8.0', 'Installation path / port: 22/tcp']",['Checks if a vulnerable version is present on the target host.'],"['Product: cpe:/a:openbsd:openssh:7.5', 'Method: OpenSSH Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.108577']",[],['Update to version 8.0 or later.'],"['- CVE-2018-20685: bypass of intended access restrictions in the scp client', '- CVE-2019-6109, CVE-2019-6110: manipulation of the output in the scp client by a malicious server', '- CVE-2019-6111: overwrite of arbitrary files in the scp client by a malicious server']",[],['6.8'],22.0,tcp,MEDIUM,"['cve: CVE-2018-20685', 'cve: CVE-2019-6109', 'cve: CVE-2019-6110', 'cve: CVE-2019-6111', 'url: https://sintonen.fi/advisories/scp-client-multiple-vulnerabilities.txt', 'url: http://www.openwall.com/lists/oss-security/2019/04/18/1']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenBSD OpenSSH < 9.6 Multiple Vulnerabilities (Terrapin Attack),['OpenBSD OpenSSH is prone to multiple vulnerabilities.'],"['Installed version: 7.5', 'Fixed version: 9.6']",[],['cpe:/a:openbsd:openssh:7.5'],[],"['Update to version 9.6 or later.', 'Note: Client and Server implementations need to run a fixed version to mitigate the Terrapin attack.']",[],[],['6.5'],22.0,tcp,MEDIUM,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenBSD OpenSSH prior to version 9.6 Multiple Vulnerabilities (Terrapin Attack),[],"['Product: cpe:/a:openbsd:openssh:7.5', 'Method: OpenSSH Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.108577)']","['Checks if a vulnerable version is present on the target host.', 'Details: OpenBSD OpenSSH < 9.6 Multiple Vulnerabilities (Terrapin Attack)', 'OID:1.3.6.1.4.1.25623.1.0.118572', 'Version used: 2025-10-08T05:38:55Z']","['Product: cpe:/a:openbsd:openssh:7.5', 'Method: OpenSSH Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.108577)']",[],[],"[""- CVE-2023-48795: The SSH transport protocol with certain OpenSSH extensions allows remote attackers to bypass integrity checks such that some packets are omitted (from the extension negotiation message), and a client and server may consequently end up with a connection for which some security features have been downgraded or disabled, aka a 'Terrapin attack'."", '- CVE-2023-51384: In ssh-agent certain destination constraints can be incompletely applied. When destination constraints are specified during addition of PKCS#11-hosted private keys, these constraints are only applied to the first key, even if a PKCS#11 token returns multiple keys.', '- CVE-2023-51385: OS command injection might occur if a user name or host name has shell metacharacters, and this name is referenced by an expansion token in certain situations. For example, an untrusted Git repository can have a submodule with shell metacharacters in a user name or host name.']",[],['7.5'],,,HIGH,"['cve: CVE-2023-48795', 'cve: CVE-2023-51384', 'cve: CVE-2023-51385', 'url: https://www.openssh.com/txt/release-9.6', 'url: https://terrapin-attack.com', 'url: https://vin01.github.io/piptagole/ssh/security/openssh/libssh/remote-code-execution/2023/12/20/openssh-proxycommand-libssh-rce.html', 'url: https://github.com/vin01/poc-proxycommand-vulnerable', 'cert-bund: WID-SEC-2025-0810', 'cert-bund: WID-SEC-2025-0168', 'cert-bund: WID-SEC-2025-0144', 'cert-bund: WID-SEC-2025-0139', 'cert-bund: WID-SEC-2024-3377', 'cert-bund: WID-SEC-2024-3320', 'cert-bund: WID-SEC-2024-3198', 'cert-bund: WID-SEC-2024-3195']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2025-0024,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-3171,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2818,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2759,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2741,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2682,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2602,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2573,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2392,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2210,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2209,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2194,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2169,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2048,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2030,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-2028,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1930,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1895,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1869,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1868,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1865,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1862,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1854,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1846,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1817,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1794,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1715,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1698,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1688,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1655,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1600,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1443,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1442,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1413,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1382,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1380,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1373,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1260,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1259,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1108,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1061,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1029,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1003,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-1000,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0896,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0779,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0762,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0744,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0698,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0633,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0619,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0618,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0616,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0597,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
DFN-CERT-2024-0545,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenBSD OpenSSH Information Disclosure Vulnerability,[],['cpe:/a:openbsd:openssh:7.5'],['OpenSSH Detection Consolidation (OID: 1.3.6.1.4.1.25623.1.0.108577)'],[],[],[],[],[],['5.9'],,,MEDIUM,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenBSD OpenSSH Information Disclosure Vulnerability,['OpenBSD OpenSSH is prone to an information disclosure vulnerability.'],"['Installed version: 7.5', 'Fixed version: 8.5', 'Installation path / port: 22/tcp']",['Checks if a vulnerable version is present on the target host.'],"['Product: cpe:/a:openbsd:openssh:7.5', 'Method: OpenSSH Detection Consolidation']",[],['Update to version 8.5 or later.'],['The client side in OpenSSH has an Observable Discrepancy leading to an information leak in the algorithm negotiation. This allows man-in-the-middle attackers to target initial connection attempts (where no host key for the server has been cached by the client).'],[],['5.9'],22.0,tcp,MEDIUM,"['CVE: CVE-2020-14145', 'url: http://www.openwall.com/lists/oss-security/2020/12/02/1', 'cert-bund: WID-SEC-2024-1591', 'cert-bund: WID-SEC-2024-1082', 'cert-bund: WID-SEC-2023-1969', 'cert-bund: WID-SEC-2023-1599', 'cert-bund: WID-SEC-2023-0068', 'cert-bund: CB-K20/0995']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
Prex Truncation Attacks in SSH Specication (Terrapin Attack),['The remote SSH server is supporting an specic encryption algorithm or MAC. Parts of their  SSH specication are vulnerable to a novel prex truncation attack (a.k.a. Terrapin attack).'],"['The remote SSH server supports the following possible affected client-to-server ->encryption algorithm(s): chacha20-poly1305@openssh.com', 'The remote SSH server supports the following possible affected server-to-client ->encryption algorithm(s): chacha20-poly1305@openssh.com']",[],['cpe:/a:ietf:secure_shell_protocol'],[],"['Update OpenSSH to version 9.6 or later', 'Update Apache MINA SSHD to version 2.12.0 or later', 'For other products please contact the vendor for possible xes / updates']",[],[],['5.9'],,,MEDIUM,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
Prefix Truncation Attacks in SSH Specification (Terrapin Attack),"['Parts of the SSH specification are vulnerable to a novel prefix truncation attack (a.k.a. Terrapin attack), which allows a man-in-the-middle attacker to strip an arbitrary number of messages right after the initial key exchange, breaking SSH extension negotiation (RFC8308) in the process and thus downgrading connection security.']",['Checks the supported algorithms and MACs of the remote SSH server.'],['Checks the supported algorithms and MACs of the remote SSH server.'],"['Product: cpe:/a:ietf:secure_shell_protocol', 'Method: SSH Protocol Algorithms Supported']","['A man-in-the-middle attacker can strip an arbitrary number of messages right after the initial key exchange, breaking SSH extension negotiation (RFC8308) in the process and thus downgrading connection security.']",['Mitigation is possible / available via software updates.'],"['Parts of the SSH specification are vulnerable to a novel prefix truncation attack (a.k.a. Terrapin attack), which allows a man-in-the-middle attacker to strip an arbitrary number of messages right after the initial key exchange, breaking SSH extension negotiation (RFC8308) in the process and thus downgrading connection security.', 'Parts of the SSH specication are vulnerable to a novel prex truncation attack (a.k.a. Terrapin attack), which allows a man-in-the-middle attacker to strip an arbitrary number of messages right after the initial key exchange, breaking SSH extension negotiation (RFC8308) in the process and thus downgrading connection security.']",[],['7.5'],,,HIGH,"['cve: CVE-2023-48795', 'cve: CVE-2024-41909', 'url: https://terrapin-attack.com', 'url: https://www.openssh.com/txt/release-9.6', 'url: https://lists.apache.org/thread/vwf1ot8wx1njyy8n19j5j2tcnjnozt3b', 'url: https://github.com/apache/mina-sshd/issues/445', 'url: https://github.com/apache/mina-sshd/pull/449', 'cert-bund: WID-SEC-2025-2359', 'cert-bund: WID-SEC-2025-0810', 'cert-bund: WID-SEC-2025-0168', 'cert-bund: WID-SEC-2025-0144', 'cert-bund: WID-SEC-2025-0139', 'cert-bund: WID-SEC-2024-3377', 'cert-bund: WID-SEC-2024-3320', 'cert-bund: WID-SEC-2024-3221', 'cert-bund: WID-SEC-2024-3198', 'cert-bund: WID-SEC-2024-3195', 'cert-bund: WID-SEC-2024-1913', 'cert-bund: WID-SEC-2024-1781', 'cert-bund: WID-SEC-2024-1701', 'cert-bund: WID-SEC-2024-1656', 'cert-bund: WID-SEC-2024-1655', 'cert-bund: WID-SEC-2024-1643', 'cert-bund: WID-SEC-2024-1642', 'cert-bund: WID-SEC-2024-1639', 'cert-bund: WID-SEC-2024-1637']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
Certificate Expiration,[],[],[],[],[],[],[],[],[],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
Weak Certificate,[],[],[],[],[],[],[],[],[],,,HIGH,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
Outdated Certificate,[],[],[],[],[],[],[],[],[],,,MEDIUM,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
No vulnerabilities extracted due to incomplete information,[],[],[],[],[],[],[],[],[],,,,[],[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenSSH < 7.8 User Enumeration Vulnerability - Linux,['OpenSSH is prone to a user enumeration vulnerability.'],"['Installed version: 7.5', 'Fixed version: 7.8']",['Checks if a vulnerable version is present on the target host.'],['cpe:/a:openbsd:openssh:7.5'],['Successfully exploitation will allow remote attacker to test whether a certain user exists or not (username enumeration) on a target OpenSSH server.'],['Update to version 7.8 or later.'],"['The aw is due to not delaying bailout for an invalid authenticating user until after the packet containing the request has been fully parsed, related to auth2-gss.c, auth2-hostbased.c, and auth2-pubkey.c']",[],"['5.3', '7.5']",22.0,tcp,MEDIUM,"['CVE-2018-15473', 'https://0day.city/cve-2018-15473.html', 'https://github.com/openbsd/src/commit/779974d35b4859c07bc3cb8a12c74b43b0a7d->1e0']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux,['OpenSSH is prone to a security bypass vulnerability.'],"['Installed version: 7.5', 'Fixed version: 7.6']",['Checks if a vulnerable version is present on the target host.'],['cpe:/a:openbsd:openssh:7.5'],['Successfully exploiting this issue allows local users to bypass certain security restrictions and perform unauthorized actions. This may lead to further attacks.'],['Update to version 7.6 or later.'],"[""The flaw exists in the 'process_open' function in sftp-server.c script which does not properly prevent write operations in readonly mode.""]",[],['5.3'],22.0,tcp,MEDIUM,"['CVE-2017-15906', 'https://www.openssh.com/txt/release-7.6', 'http://www.securityfocus.com/bid/101552', 'https://github.com/openbsd/src/commit/a6981567e8e']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenSSH 'auth2-gss.c' User Enumeration Vulnerability - Linux,['OpenSSH is prone to a user enumeration vulnerability.'],"['Installed version: 7.5', 'Fixed version: None']",['Checks if a vulnerable version is present on the target host.'],"['cpe:/a:openbsd:openssh:7.5', 'Product: cpe:/a:openbsd:openssh:7.5', 'Method: OpenSSH Detection Consolidation']","['Successfully exploitation will allow a remote attacker to harvest valid user accounts, which may aid in brute-force attacks.']","['No known solution was made available for at least one year since the disclosure of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer release, disable respective features, remove the product or replace the product by another one.']","[""The flaw exists in the 'auth-gss2.c' source code file of the affected software and is due to insufficient validation of an authentication request packet when the Guide Star Server II (GSS2) component is used on an affected system.""]",[],['5.3'],22.0,tcp,MEDIUM,"['cve: CVE-2017-15906', 'url: https://www.openssh.com/txt/release-7.6', 'url: http://www.securityfocus.com/bid/101552', 'url: https://github.com/openbsd/src/commit/a6981567e8e', 'cert-bund: WID-SEC-2024-1082', 'cert-bund: CB-K20/0041', 'cert-bund: CB-K18/0137', 'cert-bund: CB-K17/2126', 'cert-bund: CB-K17/2014', 'cert-bund: CB-K17/2002', 'dfn-cert: DFN-CERT-2024-1260', 'dfn-cert: DFN-CERT-2019-0362', 'dfn-cert: DFN-CERT-2018-2554', 'dfn-cert: DFN-CERT-2018-2191', 'dfn-cert: DFN-CERT-2018-2068', 'dfn-cert: DFN-CERT-2018-1828', 'dfn-cert: DFN-CERT-2018-1568', 'dfn-cert: DFN-CERT-2018-0150', 'dfn-cert: DFN-CERT-2017-2217', 'dfn-cert: DFN-CERT-2017-2100', 'dfn-cert: DFN-CERT-2017-2093']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenSSH Information Disclosure Vulnerability,[],[],[],[],[],[],[],[],['5.3'],,,MEDIUM,"['cve: CVE-2018-15919', 'url: https://bugzilla.novell.com/show_bug.cgi?id=1106163', 'url: https://seclists.org/oss-sec/2018/q3/180', 'cert-bund: WID-SEC-2024-1082', 'cert-bund: CB-K18/0885', 'dfn-cert: DFN-CERT-2024-1260', 'dfn-cert: DFN-CERT-2018-2293', 'dfn-cert: DFN-CERT-2018-2191']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
OpenSSH Information Disclosure Vulnerability,['OpenBSD OpenSSH is prone to an information disclosure vulnerability.'],"['Installed version: 7.5', 'Fixed version: None', 'Installation path / port: 22/tcp']",['Checks if a vulnerable version is present on the target host.'],"['Product: cpe:/a:openbsd:openssh:7.5', 'Method: OpenSSH Detection Consolidation', 'OID: 1.3.6.1.4.1.25623.1.0.108577']",[],"['No known solution was made available for at least one year since the disclosure of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer release, disable respective features, remove the product or replace the product by another one.']","['OpenSSH allows remote attackers, who have a suspicion that a certain combination of username and public key is known to an SSH server, to test whether this suspicion is correct. This occurs because a challenge is sent only when that combination could be valid for a login session.']",[],['5.3'],22.0,tcp,MEDIUM,"['cve: CVE-2016-20012', 'url: https://github.com/openssh/openssh-portable/pull/270', 'url: https://rushter.com/blog/public-ssh-keys/', 'url: https://utcc.utoronto.ca/~cks/space/blog/tech/SSHKeysAreInfoLeak']",[],[],[],OPENVAS,llama4,openvas_gitea_gitea_1.4.0,172.31.1.57,,,,,,,
