Name,cvss,description,detection_method,detection_result,http_info,identification,impact,insight,log_method,plugin,port,product_detection_result,protocol,references,severity,solution,source
Apache 2.4.x < 2.4.33 Multiple Vulnerabilities,[],"['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.33.', 'It is, therefore, affected by the following vulnerabilities :', """"- An out-of-bounds write flaw exists within the derive_codepage_from_lang() function of the modules/aaa/mod_authnz_ldap.c script due to improper handling of 'Accept-Language' header values that are less than two-bytes."""", '- A ACL bypass flaw exists within the ap_rgetline_core() function of the server/protocol.c script due to improper handling of <FilesMatch> expressions.', '- A data tampering flaw exists in the session_fixups() function of the modules/session/mod_session.c script when forwarding mod_session data to CGI applications.', '- An out-of-bound read flaw exists when hitting a size limit while handling HTTP headers.', '- A use-after-free flaw exists when handling the HTTP/2 stream shutdown.']",[],[],[],[],[],[],[],"['Plugin ID: 98914', 'Family: Component Vulnerability']",,[],,"['CVE-2017-15710', 'CVE-2017-15715', 'CVE-2018-1283', 'CVE-2018-1301', 'CVE-2018-1302']",CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.33 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.48 Multiple Vulnerabilities,"[9.8, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H']","['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.48.', 'It is, therefore, affected by multiple vulnerabilities:', """"- Unexpected <Location> section matching with 'MergeSlashes OFF'. (CVE-2021-30641)"""", '- mod_auth_digest: possible stack overflow by one nul byte while validating the Digest nonce. (CVE-2020-35452)', '- mod_session: Fix possible crash due to NULL pointer dereference, which could be used to cause a Denial of Service with a malicious backend server and SessionHeader. (CVE-2021-26691)', '- mod_session: Fix possible crash due to NULL pointer dereference, which could be used to cause a Denial of Service. (CVE-2021-26690)', '- mod_proxy_http: Fix possible crash due to NULL pointer dereference, which could be used to cause a Denial of Service. (CVE-2020-13950)', '- Windows: Prevent local users from stopping the httpd process (CVE-2020-13938)', '- mod_proxy_wstunnel, mod_proxy_http: Handle Upgradable protocols end-to-end negotiation. (CVE-2019-17567)', '- mod_http2: Fix a potential NULL pointer dereference. (CVE-2021-31618)']",[],[],[],[],[],[],[],"['Plugin ID: 112806', 'Family: Component Vulnerability', 'Publication Date: 2021-06-15T00:00:00+00:00', 'Modification Date: 2023-03-14T00:00:00+00:00']",,[],,"['CVE-2021-30641', 'CVE-2021-26690', 'CVE-2021-31618', 'CVE-2019-17567', 'CVE-2021-26691', 'CVE-2020-35452', 'CVE-2020-13950', 'CVE-2020-13938']",CRITICAL,['Upgrade to Apache version 2.4.48 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.48 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.49 Multiple Vulnerabilities,"[9.8, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H']","['The version of Apache running on the remote host is 2.4.x prior to 2.4.49.', 'It is, therefore, affected by multiple vulnerabilities:', '- A crafted method sent through HTTP/2 will bypass validation and be forwarded by mod_proxy, which can lead to request splitting or cache poisoning. (CVE-2021-33193)', '- Malformed requests may cause the server to dereference a NULL pointer. (CVE-2021-34798)', '- A carefully crafted request uri-path can cause mod_proxy_uwsgi to read above the allocated memory and crash (DoS). (CVE-2021-36160)', '- ap_escape_quotes() may write beyond the end of a buffer when given malicious input. (CVE-2021-39275)', '- A crafted request uri-path can cause mod_proxy to forward the request to an origin server chosen by the remote user. (CVE-2021-40438)']",[],[],[],[],[],[],[],"['Plugin ID: 112981', 'Family: Component Vulnerability', 'Publication Date: 2021-09-17T00:00:00+00:00', 'Modification Date: 2023-03-14T00:00:00+00:00']",,[],,"['CVE-2021-33193', 'CVE-2021-34798', 'CVE-2021-36160', 'CVE-2021-39275', 'CVE-2021-40438']",CRITICAL,['Upgrade to Apache version 2.4.49 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.49 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.52 Multiple Vulnerabilities,"[9.8, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H']","['The version of Apache httpd installed on the remote host is prior to 2.4.52.', 'It is, therefore, affected by multiple vulnerabilities as referenced in the 2.4.52 advisory.', '- A crafted URI sent to httpd configured as a forward proxy (ProxyRequests on) can cause a crash (NULL pointer dereference) or, for configurations mixing forward and reverse proxy declarations, can allow for requests to be directed to a declared Unix Domain Socket endpoint (Server Side Request Forgery). (CVE-2021-44224)', '- A carefully crafted request body can cause a buffer overflow in the mod_lua multipart parser (r:parsebody() called from Lua scripts). (CVE-2021-44790)']",[],[],[],[],[],[],[],"['Plugin ID: 113079', 'Family: Component Vulnerability', 'Publication Date: 2021-12-21T00:00:00+00:00', 'Modification Date: 2023-03-14T00:00:00+00:00']",,[],,"['CVE-2021-44224', 'CVE-2021-44790']",CRITICAL,['Upgrade to Apache version 2.4.52 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.52 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.53 Multiple Vulnerabilities,"[9.8, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H']","['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.53.', 'It is, therefore, affected by multiple vulnerabilities:', '- A carefully crafted request body can cause a read to a random memory area which could cause the process to crash. (CVE-2022-22719)', '- A HTTP Request Smuggling vulnerability exists due earlier fails to close inbound connection when errors are encountered discarding the request body. (CVE-2022-22720)', '- If LimitXMLRequestBody is set to allow request bodies larger than 350MB (defaults to 1M) on 32 bit systems an integer overflow happens which later causes out of bounds writes. (CVE-2022-22721)', '- An out-of-bounds Write vulnerability in mod_sed of Apache HTTP Server allows an attacker to overwrite heap memory with possibly attacker provided data. (CVE-2022-23943)']",[],[],[],[],[],[],[],"['Plugin ID: 113194', 'Family: Component Vulnerability', 'Publication Date: 2022-03-14T00:00:00+00:00', 'Modification Date: 2023-03-14T00:00:00+00:00']",,[],,"['CVE-2022-22719', 'CVE-2022-22720', 'CVE-2022-22721', 'CVE-2022-23943', 'https://archive.apache.org/dist/httpd/CHANGES_2.4.53', 'https://httpd.apache.org/security/vulnerabilities_24.html#2.4.53']",CRITICAL,['Upgrade to Apache version 2.4.53 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.53 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.54 Multiple Vulnerabilities,"[9.8, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H']","['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.54. It is, therefore, affected by multiple vulnerabilities:']",[],[],[],[],[],[],[],"['Plugin ID: 113254', 'Family: Component Vulnerability', 'Publication Date: 2022-06-13T00:00:00+00:00', 'Modification Date: 2023-03-14T00:00:00+00:00']",,[],,"['CVE-2022-26377', 'CVE-2022-28330', 'CVE-2022-28614', 'CVE-2022-28615', 'CVE-2022-29404', 'CVE-2022-30522', 'CVE-2022-30556', 'CVE-2022-31813']",CRITICAL,['Upgrade to Apache version 2.4.54 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.54 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.56 Multiple Vulnerabilities,"[9.8, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H']","['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.56.', 'It is, therefore, affected by multiple vulnerabilities:', '- Some mod_proxy configurations allow a HTTP Request Smuggling attack. (CVE-2023-25690)', '- HTTP Response Smuggling vulnerability via mod_proxy_uwsgi. (CVE-2023-27522)']",[],[],[],[],[],[],[],"['Plugin ID: 113673', 'Family: Component Vulnerability', 'Publication Date: 2023-03-08T00:00:00+00:00', 'Modification Date: 2023-03-16T00:00:00+00:00']",,[],,"['CVE-2023-25690', 'CVE-2023-27522', 'https://archive.apache.org/dist/httpd/CHANGES_2.4.56', 'https://httpd.apache.org/security/vulnerabilities_24.html#2.4.56']",CRITICAL,['Upgrade to Apache version 2.4.56 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.56 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.60 Multiple Vulnerabilities,"[9.8, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H']","['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.60.', 'It is, therefore, affected by multiple vulnerabilities:', '- Serving WebSocket protocol upgrades over a HTTP/2 connection could result in a Null Pointer dereference, leading to a crash of the server process, degrading performance. (CVE-2024-36387)', '- SSRF in Apache HTTP Server on Windows allows to potentially leak NTML hashes to a malicious server via SSRF and malicious requests or content. (CVE-2024-38472)', '- Encoding problem in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows request URLs with incorrect encoding to be sent to backend services, potentially bypassing authentication via crafted requests. (CVE-2024-38473)', '- Substitution encoding issue in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows attacker to execute scripts in directories permitted by the configuration but not directly reachable by any URL or source disclosure of scripts meant to only to be executed as CGI. (CVE-2024-38474)', '- Improper escaping of output in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows an attacker to map URLs to filesystem locations that are permitted to be served by the server but are not intentionally/directly reachable by any URL, resulting in code execution or source code disclosure. (CVE-2024-38475)', '- Vulnerability in core of Apache HTTP Server 2.4.59 and earlier are vulnerably to information disclosure, SSRF or local script execution via backend applications whose response headers are malicious or exploitable. (CVE-2024-38476)', '- Null pointer dereference in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows an attacker to crash the server via a malicious request. (CVE-2024-38477)', """"- Potential SSRF in mod_rewrite in Apache HTTP Server 2.4.59 and earlier allows an attacker to cause unsafe RewriteRules to unexpectedly setup URL's to be handled by mod_proxy. (CVE-2024-39573)""""]",[],[],[],[],[],[],[],"['Plugin ID: 114360', 'Family: Component Vulnerability', 'Publication Date: 2024-07-03T00:00:00+00:00', 'Modification Date: 2024-07-22T00:00:00+00:00']",,[],,"['CVE-2024-36387', 'CVE-2024-38472', 'CVE-2024-38473', 'CVE-2024-38474', 'CVE-2024-38475', 'CVE-2024-38476', 'CVE-2024-38477', 'CVE-2024-39573']",CRITICAL,['Upgrade to Apache version 2.4.60 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.60 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],CRITICAL,[],TENABLEWAS
Apache 2.4.x < 2.4.38 Multiple Vulnerabilities,"[7.5, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N']","['According to its banner, the version of Apache running on the remote host is 2.4.x prior to 2.4.38.', 'It is, therefore, affected by multiple vulnerabilities:', '- A denial of service (DoS) vulnerability exists in HTTP/2 steam handling.', '- A vulnerability exists in mod_sesion_cookie, as it does not properly check the expiry time of cookies.', '- A denial of service (DoS) vulnerability exists in mod_ssl when used with OpenSSL 1.1.1 due to an interaction in changes to handling of renegotiation attempts.']",[],[],[],[],[],[],[],"['Plugin ID: 98537', 'Family: Component Vulnerability', 'Publication Date: 2019-04-12T00:00:00+00:00', 'Modification Date: 2023-03-14T00:00:00+00:00']",,[],,"['CVE-2018-17189', 'CVE-2018-17199', 'CVE-2019-0190', 'https://archive.apache.org/dist/httpd/CHANGES_2.4.38', 'https://httpd.apache.org/security/vulnerabilities_24.html#2.4.38']",HIGH,['Upgrade to Apache version 2.4.38 or later.'],TENABLEWAS
Apache 2.4.x < 2.4.38 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],HIGH,[],TENABLEWAS
Apache 2.4.x < 2.4.9 Multiple Vulnerabilities,"[7.5, 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H']","[""""A flaw exists with the 'mod_dav' module that is caused when tracking the length of CDATA that has leading white space. A remote attacker with a specially crafted DAV WRITE request can cause the service to stop responding. (CVE-2013-6438)"""", """"A flaw exists in 'mod_log_config' module that is caused when logging a cookie that has an unassigned value. A remote attacker with a specially crafted request can cause the service to crash. (CVE-2014-0098)""""]",[],[],[],[],[],[],[],"['Plugin ID: 98905', 'Family: Component Vulnerability', 'Publication Date: 2019-01-09T00:00:00+00:00', 'Modification Date: 2023-03-14T00:00:00+00:00']",,[],,"['CVE-2013-6438', 'CVE-2014-0098', 'https://archive.apache.org/dist/httpd/CHANGES_2.4.9', 'https://httpd.apache.org/security/vulnerabilities_24.html#2.4.9']",HIGH,"['Upgrade to Apache version 2.4.9 or later. Alternatively, ensure that the affected modules are not in use.']",TENABLEWAS
Apache 2.4.x < 2.4.9 Multiple Vulnerabilities Instances (1),[],[],[],[],[],['https://juice-shop-388277804329.us-west1.run.app/apps/'],[],[],[],[],,[],,[],HIGH,[],TENABLEWAS
