Total vulnerabilidades no vulnnet: 6343
Total vulnerabilidades extraídas: 6700
Acertos: 6101 (96.18%)
Inventadas (no dataset mas não no vulnnet): 599 (8.94%)
Faltantes (no vulnnet mas não no dataset): 242 (3.82%)

--- Inventadas (exemplos) ---
172.30.9.3 | 'favicon.ico' Based Fingerprinting (HTTP) | 1 a mais
172.30.39.1 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.9.3 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.85 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.9.4 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.1.4 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.10 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.7.2 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 2 a mais
172.30.1.3 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.94 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.93 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.31.1 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.92 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.44 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.45 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.9.2 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.1.1 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.40.5 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.30.9.1 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.83 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.106 | Apache HTTP Server 'mod_auth_digest' Multiple Vulnerabilities - Linux | 1 a mais
172.31.1.107 | Apache HTTP Server mod_lua Denial of Service Vulnerability -01 (May 2015) | 1 a mais
172.30.39.1 | Apache HTTP Server mod_lua Denial of Service Vulnerability -01 (May 2015) | 1 a mais
172.30.9.3 | Apache HTTP Server mod_lua Denial of Service Vulnerability -01 (May 2015) | 1 a mais
172.30.9.4 | Apache HTTP Server mod_lua Denial of Service Vulnerability -01 (May 2015) | 1 a mais
172.30.1.4 | Apache HTTP Server mod_lua Denial of Service Vulnerability -01 (May 2015) | 1 a mais
172.30.7.2 | Apache HTTP Server mod_lua Denial of Service Vulnerability -01 (May 2015) | 2 a mais
172.30.1.3 | Apache HTTP Server mod_lua Denial of Service Vulnerability -01 (May 2015) | 1 a mais
172.30.9.2 | Apache HTTP Server mod_lua Denial of Service Vulnerability -01 (May 2015) | 1 a mais
172.30.1.1 | Apache HTTP Server 'mod_deate' Denial Of Service Vulnerability (Jul 2009) | 1 a mais
172.30.1.4 | Apache HTTP Server mod_lua Denial of Service Vulnerability (May 2015) | 1 a mais
172.30.40.5 | Apache HTTP Server 'mod_proxy_fcgi' Denial of Service Vulnerability (May 2015) | 1 a mais
172.30.1.1 | Apache HTTP Server 'mod_proxy_ftp' Module Command Injection Vulnerability | 1 a mais
172.30.1.1 | Apache HTTP Server 'mod_proxy_ftp' Module DoS Vulnerability | 1 a mais
172.30.1.1 | Apache HTTP Server 'mod_proxy_ftp' Wildcard Characters XSS Vulnerability | 1 a mais
172.31.1.9 | Apache HTTP Server 'mod_proxy_http.c' Denial Of Service Vulnerability | 1 a mais
172.30.1.1 | Apache HTTP Server 'mod_proxy_http.c' Denial Of Service Vulnerability | 1 a mais
172.31.1.107 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.39.1 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.9.3 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.9.4 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.1.4 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.7.2 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 2 a mais
172.30.1.3 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.31.1.94 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.9.2 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.1.1 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.40.5 | Apache HTTP Server 'Whitespace Defects' Multiple Vulnerabilities | 1 a mais
172.30.1.4 | Apache HTTP Server 2.4.1 < 2.4.24 IP Spoofing Vulnerability - Linux | 1 a mais
172.30.32.1 | Apache HTTP Server 2.4.17 < 2.4.49 mod_proxy HTTP/2 Request Smuggling Vulnerability - Linux | 1 a mais
172.31.1.74 | Apache HTTP Server 2.4.30 - 2.4.65 Integer Overflow Vulnerability - Linux | 1 a mais
172.30.39.1 | Apache HTTP Server <= 2.4.51 Buffer Overflow Vulnerability - Linux | 1 a mais
172.31.1.106 | Apache HTTP Server <= 2.4.51 Buffer Overflow Vulnerability - Linux | 1 a mais
172.31.1.84 | Apache HTTP Server Detection Consolidation | 1 a mais
172.31.1.10 | Apache HTTP Server Detection Consolidation | 1 a mais
172.30.31.1 | Apache HTTP Server Detection Consolidation | 1 a mais
172.31.1.44 | Apache HTTP Server Detection Consolidation | 1 a mais
172.30.32.1 | Apache HTTP Server Stack Overflow Vulnerability - Linux | 1 a mais
172.31.1.17 | Apache Tomcat 'SecurityManager' Information Disclosure Vulnerability (Apr 2017) - Linux | 1 a mais
172.31.1.17 | Apache Tomcat 'VirtualDirContext' Information Disclosure Vulnerability - Linux | 1 a mais
172.31.1.17 | Apache Tomcat / Tomcat Default Files | 1 a mais
172.31.1.107 | CPE Inventory | 1 a mais
172.30.39.1 | CPE Inventory | 1 a mais
172.31.1.90 | CPE Inventory | 1 a mais
172.31.1.7 | CPE Inventory | 1 a mais
172.30.28.1 | CPE Inventory | 1 a mais
172.30.40.1 | CPE Inventory | 1 a mais
172.31.1.15 | CPE Inventory | 1 a mais
172.31.1.34 | CPE Inventory | 1 a mais
172.31.1.5 | CPE Inventory | 1 a mais
172.31.1.6 | CPE Inventory | 1 a mais
172.30.9.3 | CPE Inventory | 1 a mais
172.30.48.1 | CPE Inventory | 1 a mais
172.31.1.3 | CPE Inventory | 1 a mais
172.31.1.4 | CPE Inventory | 1 a mais
172.30.10.4 | CPE Inventory | 1 a mais
172.31.1.100 | CPE Inventory | 1 a mais
172.31.1.84 | CPE Inventory | 1 a mais
172.30.14.5 | CPE Inventory | 1 a mais
172.31.1.64 | CPE Inventory | 1 a mais
172.30.10.2 | CPE Inventory | 1 a mais
172.31.1.97 | CPE Inventory | 1 a mais
172.31.1.8 | CPE Inventory | 1 a mais
172.30.6.4 | CPE Inventory | 1 a mais
172.31.1.57 | CPE Inventory | 1 a mais
172.31.1.55 | CPE Inventory | 1 a mais
172.31.1.24 | CPE Inventory | 1 a mais
172.31.1.56 | CPE Inventory | 1 a mais
172.31.1.46 | CPE Inventory | 1 a mais
172.30.1.4 | CPE Inventory | 1 a mais
172.31.1.10 | CPE Inventory | 1 a mais
172.30.6.3 | CPE Inventory | 1 a mais
172.31.1.73 | CPE Inventory | 1 a mais
172.31.1.21 | CPE Inventory | 1 a mais
172.31.1.49 | CPE Inventory | 1 a mais
172.30.50.3 | CPE Inventory | 1 a mais
172.31.1.67 | CPE Inventory | 1 a mais
172.31.1.68 | CPE Inventory | 1 a mais
172.30.1.3 | CPE Inventory | 1 a mais
172.31.1.96 | CPE Inventory | 1 a mais
172.31.1.94 | CPE Inventory | 1 a mais
172.31.1.30 | CPE Inventory | 1 a mais
172.31.1.25 | CPE Inventory | 1 a mais
172.31.1.93 | CPE Inventory | 1 a mais
172.31.1.11 | CPE Inventory | 1 a mais
172.31.1.13 | CPE Inventory | 1 a mais
172.31.1.41 | CPE Inventory | 1 a mais
172.30.22.2 | CPE Inventory | 1 a mais
172.31.1.39 | CPE Inventory | 1 a mais
172.31.1.40 | CPE Inventory | 1 a mais
172.30.31.1 | CPE Inventory | 1 a mais
172.31.1.92 | CPE Inventory | 1 a mais
172.31.1.88 | CPE Inventory | 1 a mais
172.31.1.89 | CPE Inventory | 1 a mais
172.31.1.44 | CPE Inventory | 1 a mais
172.31.1.45 | CPE Inventory | 1 a mais
172.31.1.72 | CPE Inventory | 1 a mais
172.31.1.36 | CPE Inventory | 1 a mais
172.31.1.37 | CPE Inventory | 1 a mais
172.31.1.38 | CPE Inventory | 1 a mais
172.30.3.2 | CPE Inventory | 1 a mais
172.30.14.4 | CPE Inventory | 1 a mais
172.30.21.1 | CPE Inventory | 1 a mais
172.31.1.61 | CPE Inventory | 1 a mais
172.31.1.42 | CPE Inventory | 1 a mais
172.31.1.43 | CPE Inventory | 1 a mais
172.31.1.101 | CPE Inventory | 1 a mais
172.30.17.1 | CPE Inventory | 1 a mais
172.30.45.1 | CPE Inventory | 1 a mais
172.31.1.53 | CPE Inventory | 1 a mais
172.31.1.50 | CPE Inventory | 1 a mais
172.30.44.1 | CPE Inventory | 1 a mais
172.31.1.18 | CPE Inventory | 1 a mais
172.31.1.80 | CPE Inventory | 1 a mais
172.31.1.1 | CPE Inventory | 1 a mais
172.31.1.2 | CPE Inventory | 1 a mais
172.30.49.1 | CPE Inventory | 1 a mais
172.30.44.2 | CPE Inventory | 1 a mais
172.30.3.1 | CPE Inventory | 1 a mais
172.30.4.1 | CPE Inventory | 1 a mais
172.31.1.83 | CPE Inventory | 1 a mais
172.30.47.1 | CPE Inventory | 1 a mais
172.31.1.106 | CPE Inventory | 1 a mais
172.30.1.4 | Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater) | 1 a mais
172.30.1.3 | Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater) | 1 a mais
172.30.3.1 | Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater) | 1 a mais
172.30.9.3 | Hostname Determination Reporting | 1 a mais
172.30.14.5 | Hostname Determination Reporting | 1 a mais
172.31.1.65 | Hostname Determination Reporting | 1 a mais
172.30.19.2 | Hostname Determination Reporting | 1 a mais
172.30.6.3 | Hostname Determination Reporting | 1 a mais
172.30.7.2 | Hostname Determination Reporting | 1 a mais
172.31.1.74 | Hostname Determination Reporting | 1 a mais
172.31.1.22 | Hostname Determination Reporting | 1 a mais
172.31.1.21 | Hostname Determination Reporting | 1 a mais
172.31.1.48 | Hostname Determination Reporting | 1 a mais
172.30.50.3 | Hostname Determination Reporting | 1 a mais
172.31.1.27 | Hostname Determination Reporting | 1 a mais
172.31.1.102 | Hostname Determination Reporting | 1 a mais
172.31.1.30 | Hostname Determination Reporting | 1 a mais
172.30.14.3 | Hostname Determination Reporting | 1 a mais
172.31.1.11 | Hostname Determination Reporting | 1 a mais
172.31.1.13 | Hostname Determination Reporting | 1 a mais
172.31.1.89 | Hostname Determination Reporting | 1 a mais
172.31.1.44 | Hostname Determination Reporting | 1 a mais
172.30.14.2 | Hostname Determination Reporting | 1 a mais
172.31.1.50 | Hostname Determination Reporting | 1 a mais
172.31.1.16 | Hostname Determination Reporting | 1 a mais
172.30.3.1 | Hostname Determination Reporting | 1 a mais
172.31.1.61 | HTTP Brute Force Logins With Default Credentials Reporting | 1 a mais
172.31.1.57 | HTTP Security Headers Detection | 1 a mais
172.31.1.85 | HTTP Server Banner Enumeration | 1 a mais
172.31.1.10 | HTTP Server Banner Enumeration | 1 a mais
172.31.1.44 | HTTP Server Banner Enumeration | 1 a mais
172.30.17.1 | HTTP Server Banner Enumeration | 1 a mais
172.30.9.1 | HTTP Server Banner Enumeration | 1 a mais
172.31.1.10 | HTTP Server type and version | 1 a mais
172.31.1.107 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.39.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.90 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.9.3 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.35 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.100 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.85 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.14.5 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.64 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.97 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.57 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.55 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.24 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.56 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.9.4 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.1.4 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.9 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.6.3 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.2.2 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.22 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.21 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.49 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.48 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.50.3 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.50.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.1.3 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.96 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.27 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.32.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.94 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.30 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.14.3 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.31 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.26 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.13 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.29.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.92 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.88 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.89 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.44 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.45 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.28 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.14.2 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.29 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.9.2 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.3.2 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.33 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.101 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.18.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.79 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.17.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.53 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.50 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.1.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.16 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.17 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.3.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.9.1 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.83 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.31.1.106 | ICMP Timestamp Reply Information Disclosure | 1 a mais
172.30.1.1 | ICMP timestamp request | 1 a mais
172.30.50.1 | ICMP Timestamp Request Remote Date Disclosure | 1 a mais
172.30.48.1 | IP Forwarding Enabled - Active Check | 1 a mais
172.31.1.64 | IP Forwarding Enabled - Active Check | 1 a mais
172.31.1.73 | IP Forwarding Enabled - Active Check | 1 a mais
172.31.1.103 | IP Forwarding Enabled - Active Check | 1 a mais
172.31.1.41 | IP Forwarding Enabled - Active Check | 1 a mais
172.31.1.72 | IP Forwarding Enabled - Active Check | 1 a mais
172.30.21.1 | IP Forwarding Enabled - Active Check | 1 a mais
172.31.1.80 | IP Forwarding Enabled - Active Check | 1 a mais
172.30.49.1 | IP Forwarding Enabled - Active Check | 1 a mais
172.30.3.1 | IP Forwarding Enabled - Active Check | 1 a mais
172.30.9.7 | IP Forwarding Enabled - Active Check | 1 a mais
172.30.1.4 | IRC Server Banner Detection | 1 a mais
172.31.1.101 | ISC BIND 'deny-answer-aliases' Denial of Service Vulnerability | 2 a mais
172.31.1.101 | ISC BIND Buffer Overflow Vulnerability (CVE-2021-25216) - Linux | 1 a mais
172.31.1.49 | Jenkins Detection Consolidation | 1 a mais
172.31.1.57 | jQuery Detection Consolidation | 1 a mais
172.31.1.56 | jQuery Detection Consolidation | 1 a mais
172.31.1.88 | jQuery Detection Consolidation | 1 a mais
172.30.32.2 | Lighttpd DoS | 1 a mais
172.31.1.103 | Memcached 1.5.15 < 1.6.10 DoS Vulnerability | 1 a mais
172.30.39.1 | Missing 'HttpOnly' Cookie Attribute (HTTP) | 1 a mais
172.30.9.3 | Missing 'HttpOnly' Cookie Attribute (HTTP) | 1 a mais
172.31.1.57 | Missing 'HttpOnly' Cookie Attribute (HTTP) | 1 a mais
172.31.1.56 | Missing 'HttpOnly' Cookie Attribute (HTTP) | 1 a mais
172.30.7.2 | Missing 'HttpOnly' Cookie Attribute (HTTP) | 2 a mais
172.30.32.1 | Missing 'HttpOnly' Cookie Attribute (HTTP) | 1 a mais
172.31.1.94 | Missing 'HttpOnly' Cookie Attribute (HTTP) | 1 a mais
172.30.29.2 | Missing 'HttpOnly' Cookie Attribute (HTTP) | 1 a mais
172.30.7.2 | Missing 'Secure' Cookie Attribute (HTTP) | 1 a mais
172.30.29.2 | Missing 'Secure' Cookie Attribute (HTTP) | 1 a mais
172.30.14.3 | MongoDB Detection (MongoDB Wire Protocol) | 1 a mais
172.31.1.61 | MQTT Broker Does Not Require Authentication (TCP) | 1 a mais
172.30.1.1 | MySQL 'sql_parse.cc' Multiple Format String Vulnerabilities | 1 a mais
172.30.1.1 | MySQL 5.x Unspecified Buffer Overflow Vulnerability | 1 a mais
172.30.1.1 | MySQL < 5.0.88, 5.1.x < 5.1.41 DoS and Spoofing Vulnerabilities | 1 a mais
172.30.2.2 | Network Distance between Scanner and Target | 1 a mais
172.31.1.13 | nginx Detection Consolidation | 1 a mais
172.31.1.56 | OpenBSD OpenSSH 7.4 - 9.9 Unspecified Vulnerability | 1 a mais
172.31.1.57 | OpenBSD OpenSSH < 9.3 Unspecified Vulnerability | 1 a mais
172.31.1.55 | OpenBSD OpenSSH < 9.3 Unspecified Vulnerability | 1 a mais
172.31.1.56 | OpenBSD OpenSSH < 9.3 Unspecified Vulnerability | 1 a mais
172.30.2.2 | OpenBSD OpenSSH is prone to multiple vulnerabilities | 1 a mais
172.31.1.57 | OpenSSH < 7.8 User Enumeration Vulnerability - Linux | 1 a mais
172.31.1.55 | OpenSSH < 7.8 User Enumeration Vulnerability - Linux | 1 a mais
172.31.1.56 | OpenSSH < 7.8 User Enumeration Vulnerability - Linux | 1 a mais
172.30.1.4 | OpenSSH < 7.8 User Enumeration Vulnerability - Linux | 1 a mais
172.30.1.3 | OpenSSH < 7.8 User Enumeration Vulnerability - Linux | 1 a mais
172.30.3.2 | OpenSSH < 7.8 User Enumeration Vulnerability - Linux | 1 a mais
172.30.3.1 | OpenSSH < 7.8 User Enumeration Vulnerability - Linux | 1 a mais
172.30.1.1 | OpenSSH 'child_set_env()' Function Security Bypass Vulnerability | 1 a mais
172.30.1.1 | OpenSSH 'schnorr.c' Remote Memory Corruption Vulnerability | 1 a mais
172.30.1.1 | OpenSSH 'ssh-keysign.c' Local Information Disclosure Vulnerability | 1 a mais
172.31.1.57 | OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux | 1 a mais
172.31.1.55 | OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux | 1 a mais
172.31.1.56 | OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux | 1 a mais
172.30.1.4 | OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux | 1 a mais
172.30.1.3 | OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux | 1 a mais
172.30.3.2 | OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux | 1 a mais
172.30.1.1 | OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux | 1 a mais
172.30.3.1 | OpenSSH < 7.6 'sftp-server' Security Bypass Vulnerability - Linux | 1 a mais
172.31.1.107 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.39.1 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.31.1.100 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.31.1.85 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.14.5 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.31.1.57 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.31.1.56 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.1.4 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.7.2 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.8.4 | OpenVAS / Greenbone Vulnerability Manager Detection | 2 a mais
172.31.1.74 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.1.3 | OpenVAS / Greenbone Vulnerability Manager Detection | 2 a mais
172.31.1.89 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.31.1.44 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.31.1.72 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.14.4 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.1.1 | OpenVAS / Greenbone Vulnerability Manager Detection | 2 a mais
172.31.1.16 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.3.1 | OpenVAS / Greenbone Vulnerability Manager Detection | 1 a mais
172.30.32.1 | Operating System (OS) End of Life (EOL) Detection | 1 a mais
172.30.1.1 | Oracle MySQL < MySQL 5.1.49 'TEMPORARY InnoDB' Tables DoS Vulnerability | 1 a mais
172.30.39.1 | Oracle MySQL Server <= 5.5.48 / 5.6 <= 5.6.29 / 5.7 <= 5.7.11 Security Update (cpujul2016) - Linux | 1 a mais
172.30.9.4 | Oracle MySQL Server <= 5.5.49 / 5.6 <= 5.6.30 / 5.7 <= 5.7.12 Security Update (cpujul2016) - Linux | 1 a mais
172.30.9.4 | Oracle MySQL Server <= 5.6.44 / 5.7 <= 5.7.26 / 8.0 <= 8.0.16 Security Update (cpujul2019) - Linux | 1 a mais
172.30.9.2 | Oracle MySQL Server <= 5.6.49 / 5.7 <= 5.7.31 / 8.0 <= 8.0.21 Security Update (cpuoct2020) - Linux | 1 a mais
172.30.1.1 | Oracle MySQL Server <= 5.6.50 / 5.7 <= 5.7.30 / 8.0 <= 8.0.17 Security Update (cpujan2021) - Linux | 1 a mais
172.30.39.1 | Oracle MySQL Server <= 5.6.50 / 5.7 <= 5.7.30 / 8.0 <= 8.0.17 Security Update (cpujan2021) - Linux | 1 a mais
172.30.9.4 | Oracle MySQL Server <= 5.7.42, 8.x <= 8.0.33 Security Update (cpujul2023) - Linux | 1 a mais
172.30.1.1 | Oracle MySQL Server <= 5.7.42, 8.x <= 8.0.33 Security Update (cpuoct2023) - Linux | 1 a mais
172.31.1.26 | Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.2, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Linux | 1 a mais
172.30.1.1 | Oracle MySQL Server <= 8.0.41, 8.1 <= 8.4.4, 9.0 <= 9.2.0 Security Update (cpuapr2025) - Linux | 1 a mais
172.30.9.3 | Oracle MySQL Server <= 8.0.43, 8.1.x <= 8.4.7, 9.0.0 <= 9.4.0 Security Update (cpuoct2025) - Linux | 1 a mais
