Description,Reference Information,Risk Information,name,plugin_id,severity,solution
"Usernames are being disclosed in the application, potentially exposing user identities.",https://owasp.org/www-community/Information_Leakage,Attackers can use usernames for targeted attacks or social engineering.,Username Disclosure,153,Low,"Avoid displaying usernames in URLs, responses, or error messages."
The web application is missing a permissions policy which can lead to unauthorized access to resources.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,Unauthorized access to sensitive data or functionality.,Missing Permissions Policy,217,High,Implement a permissions policy to control access to resources on the web application.
The web application is missing a referrer policy which can lead to information leakage through HTTP referrer headers.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Referrer-Policy,Information leakage through HTTP referrer headers.,Missing Referrer Policy,237,Medium,Implement a referrer policy to control the information sent in the referrer header.
The web application is disclosing full file paths which can expose sensitive information to attackers.,https://owasp.org/www-community/vulnerabilities/Full_Path_Disclosure,Exposure of sensitive information such as directory structure or file paths.,Full Path Disclosure,267,High,Ensure that full file paths are not exposed in error messages or responses.
Web application scanning detailed scan export for Juice Shop & bWAAP,N/A,Potential critical vulnerabilities in the web application,Juice Shop & bWAAP Web Application Scan,N/A,CRITICAL,N/A
Maximum number of instances to be reported for plugin ID 98050 has been reached. Scanner will not publish any other results for this plugin ID.,N/A,Limited visibility into potential vulnerabilities due to the maximum number of results being reached.,Maximum number of results published,98050,Info,Adjust the settings to allow for more results to be published or consider using a different scanning tool.
"This scan has been configured with debug mode enabled. In this mode, the scanner provides extra information in plugin outputs and generate additional logs to facilitate troubleshooting, but this also leads to higher scan duration and is not suited for regular scans. Make sure therefore to use this mode either just before contacting or when advised by Tenable technical support for troubleshooting purposes.",N/A,Increased scan duration and potential performance issues due to debug mode being enabled.,Debug Mode Enabled,N/A,Info,Disable debug mode for regular scans to improve scan duration and efficiency.
Injection (differential analysis),,Allows attackers to manipulate the database and potentially access sensitive information.,Blind SQL Injection,98117,High,Implement proper input validation and parameterized queries to prevent SQL injection attacks.
Data Exposure,,Leads to unauthorized access to confidential information.,Secret Data Disclosure,114129,High,Ensure sensitive data is properly encrypted and access controls are in place.
Injection,,Allows attackers to manipulate the database and potentially access sensitive information.,SQL Injection,98115,High,Implement proper input validation and parameterized queries to prevent SQL injection attacks.
Allows an attacker to execute arbitrary SQL queries on the database.,"WASC SQL Injection, OWASP 2013-A1, 2021-A3, 2010-A1, 2017-A1, 2019-API8","CVSSV4 BASE SCORE 7.2, CVSSV3 BASE SCORE 8.6, CVSS BASE SCORE 9.0",SQL Injection,CWE 89,High,Use parameterized queries or prepared statements to sanitize user input.
Web applications occasionally use parameter values to store the address of the page to which the client will be redirected -- for example: `yoursite.com/page.asp?redirect=www.yoursite.com/404.asp` An unvalidated redirect occurs when the client is able to modify the affected parameter value in the request and thus control the location of the redirection.,https://www.owasp.org/index.php/Unvalidated_Redirects_and_Forwards_Cheat_Sheet,Cyber-criminals will abuse these vulnerabilities in social engineering attacks to get users to unknowingly visit malicious web sites.,Unvalidated Redirection,98054,Medium,The application should ensure that the supplied value for a redirect is permitted. This can be achieved by performing whitelisting on the parameter value. The whitelist should contain a list of pages or sites that the application is permitted to redirect users to. If the supplied value does not match any value in the whitelist then the server should redirect to a standard error page.
Abuse of URL redirectors can lead to phishing attacks and other malicious activities.,"WASC URL Redirector Abuse, OWASP 2021-A1, 2013-A10, 2010-A10, 2023-API8, 2019-API7","CVSSV4 BASE SCORE 5.1, CVSSV3 BASE SCORE 4.7, CVSS BASE SCORE 4.3",URL Redirector Abuse,CWE 601,Medium,Ensure that all URL redirectors are properly validated and sanitized to prevent abuse.
An unvalidated redirect was found on https://juice-shop-16-0-1-178712031365.us-west1.run.app/redirect?to=https%3A%2F%2F98147a45-d7d1-4fb3-a532-d4d4b2db551e.com%3Fx%3Dhttps%3A%2F%2Fgithub.com%2Fjuice-shop%2Fjuice-shop by injecting https://98147a45-d7d1-4fb3-a532-d4d4b2db551e.com?x=https://github.com/juice-shop/juice-shop into the query parameter 'to' to create the url 'https://juice-shop-16-0-1-178712031365.us-west1.run.app/redirect?to=https%3A%2F%2F98147a45-d7d1-4fb3-a532-d4d4b2db551e.com%3Fx%3Dhttps%3A%2F%2Fgithub.com%2Fjuice-shop%2Fjuice-shop'.,https://owasp.org/www-community/attacks/Unvalidated_Redirects_and_Forwards,Attackers could use unvalidated redirects to trick users into visiting malicious websites or phishing pages.,Unvalidated Redirection Instances,98054,MEDIUM,Validate and sanitize user input to prevent unvalidated redirects.
"The HTTP protocol by itself is clear text, meaning that any data that is transmitted via HTTP can be captured and the contents viewed. To keep data private and prevent it from being intercepted, HTTP is often tunnelled through either Secure Sockets Layer (SSL) or Transport Layer Security (TLS). When either of these encryption standards are used, it is referred to as HTTPS. HTTP Strict Transport Security (HSTS) is an optional response header that can be configured on the server to instruct the browser to only communicate via HTTPS. This will be enforced by the browser even if the user requests a HTTP resource on the same server. Cyber-criminals will often attempt to compromise sensitive information passed from the client to the server using HTTP. This can be conducted via various Man-in-The-Middle (MiTM) attacks or through network packet captures. Scanner discovered that the affected application is using HTTPS however does not use the HSTS header.","https://hstspreload.org/, https://tools.ietf.org/html/rfc6797, https://www.chromium.org/hsts, https://www.owasp.org/index.php/HTTP_Strict_Transport_Security_Cheat_Sheet","CVSSV4 BASE SCORE 6.3, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N, CVSSV3 BASE SCORE 6.5, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N, CVSS BASE SCORE 5.8, CVSS VECTOR CVSS2#AV:N/AC:M/Au:N/C:P/I:P/A:N",Missing HTTP Strict Transport Security Policy,98056,Medium,"Depending on the framework being used the implementation methods will vary, however it is advised that the `Strict-Transport-Security` header be configured on the server. One of the options for this header is `max-age`, which is a representation (in milliseconds) determining the time in which the client's browser will adhere to the header policy. Depending on the environment and the application this time period could be from as low as minutes to as long as days."
"The web application scan identified insufficient transport layer protection, which can lead to sensitive data being exposed to unauthorized parties.","CWE 319, 523; WASC Insufficient Transport Layer Protection; OWASP 2010-A9, 2013-A6, 2017-A3, 2021-A2","Exposure of sensitive data, potential for data interception and tampering.",Insufficient Transport Layer Protection,N/A,High,Implement secure communication protocols such as HTTPS to encrypt data in transit.
The scanner did not find any Strict-Transport-Security header in the response returned by the target when querying URL https://juice-shop-16-0-1-178712031365.us-west1.run.app/rest/user/whoami.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security,"Without the Strict-Transport-Security header, the application is vulnerable to man-in-the-middle attacks and SSL-stripping.",Missing Strict-Transport-Security Header,001,Medium,Implement Strict-Transport-Security header to ensure secure communication over HTTPS.
The scanner did not find any Strict-Transport-Security header in the response returned by the target.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security,"Without the Strict-Transport-Security header, the website is vulnerable to man-in-the-middle attacks.",Missing Strict-Transport-Security Header,N/A,Medium,Implement Strict-Transport-Security header to enforce secure connections.
"Web servers permitting directory listing are typically used for sharing files. Directory listing allows the client to view a simple list of all the files and folders hosted on the web server. The client is then able to traverse each directory and download the files. Cyber-criminals will utilise the presence of directory listing to discover sensitive files, download protected content, or even just learn how the web application is structured. Scanner discovered that the affected page permits directory listing.",https://www.owasp.org/index.php/OWASP_Periodic_Table_of_Vulnerabilities_-_Directory_Indexing,"CVSSV4 BASE SCORE 6.9, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N, CVSSV3 BASE SCORE 5.3, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N, CVSS BASE SCORE 5.0, CVSS VECTOR CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N",Directory Listing Vulnerability,98084,Medium,"Unless the web server is being utilised to share static and non-sensitive files, enabling directory listing is considered a poor security practice. This can typically be done with a simple configuration change on the server. The steps to disable the directory listing will differ depending on the type of server being used (IIS, Apache, etc.). If directory listing is required, and permitted, then steps should be taken to ensure that the risk of such a configuration is reduced. These can include: 1. Requiring authentication to access affected pages. 2. Adding the affected path to the `robots.txt` file to prevent the directory contents being searchable via search engines. 3. Ensuring that sensitive files are not stored within the web or document root. 4. Removing any files that are not required for the application to function."
The web application allows directory listing which can expose sensitive information to attackers.,https://owasp.org/www-community/attacks/Directory_listing,Attackers can easily discover and access sensitive files and directories on the server.,Directory Listing Enabled,98084,MEDIUM,Disable directory listing on the web server to prevent exposing sensitive information.
"The web application is missing important security headers such as X-Content-Type-Options, X-Frame-Options, and Feature-Policy.",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers,"Without these security headers, the web application is vulnerable to attacks that can compromise user data and the integrity of the application.",Missing HTTP Security Headers,001,High,"Implement proper security headers to protect against various attacks such as clickjacking, MIME sniffing, and unauthorized access to features."
"Client-side scripts are used extensively by modern web applications. They perform from simple functions (such as the formatting of text) up to full manipulation of client-side data and Operating System interaction. Unlike traditional Cross-Site Scripting (XSS), where the client is able to inject scripts into a request and have the server return the script to the client, DOM XSS does not require that a request be sent to the server and may be abused entirely within the loaded page. This occurs when elements of the DOM (known as the sources) are able to be manipulated to contain untrusted data, which the client-side scripts (known as the sinks) use or execute an unsafe way. Scanner has discovered that by inserting an HTML element into the page's DOM inputs (sources), it was possible to then have the HTML element rendered as part of the page by the sink.","http://projects.webappsec.org/w/page/13246920/Cross%20Site%20Scripting, https://www.owasp.org/index.php/DOM_Based_XSS, https://www.owasp.org/index.php/DOM_based_XSS_Prevention_Cheat_Sheet","CVSSV4 BASE SCORE 5.1, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N, CVSSV3 BASE SCORE 6.1, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",DOM-based Cross-Site Scripting (XSS),98109,Medium,"Client-side document rewriting, redirection, or other sensitive action, using untrusted data, should be avoided wherever possible, as these may not be inspected by server side filtering. To remedy DOM XSS vulnerabilities where these sensitive document actions must be used, it is essential to: 1. Ensure any untrusted data is treated as text, as opposed to being interpreted as code or mark-up within the page. 2. Escape untrusted data prior to being used within the page. Escaping methods will vary depending on where the untrusted data is being used. (See references for details.) 3. Use `document.createElement`, `element.setAttribute`, `element.appendChild`, etc. to build dynamic interfaces as opposed to HTML rendering methods such as `document.write`, `document.writeIn`, `element.innerHTML`, or `element.outerHTML `etc."
Allows attackers to inject malicious scripts into web pages viewed by other users.,"CWE 79, WASC Cross-Site Scripting, OWASP 2021-A3, 2010-A2, 2013-A3, 2017-A7, 2023-API8, 2019-API7",CVSS BASE SCORE 5.8,Cross-Site Scripting,N/A,Medium,Implement input validation and output encoding to prevent script injection.
"According to its self-reported version number, jQuery is prior to 3.4.0. Therefore, it may be affected by a prototype pollution vulnerability due to 'extend' function that can be tricked into modifying the prototype of 'Object'.","{'CWE': ['1321', '20', '400', '79'], 'WASC': ['Cross-Site Scripting', 'Denial of Service', 'Improper Input Handling'], 'OWASP': ['2010-A4', '2021-A3', '2021-A6', '2010-A2', '2013-A3', '2013-A9', '2017-A9', '2017-A5', '2013-A4', '2017-A7', '2019-API7', '2023-API8'], 'CVE': 'CVE-2019-11358', 'BID': '108023'}","{'CVSSV4 BASE SCORE': '-', 'CVSSV4 VECTOR': '-', 'CVSSV3 BASE SCORE': '6.1', 'CVSSV3 VECTOR': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N', 'CVSS BASE SCORE': '4.3', 'CVSS VECTOR': 'CVSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N'}",jQuery Prototype Pollution Vulnerability,98590,Medium,Upgrade to jQuery version 3.4.0 or later.
The remote host use at least one SSL/TLS ciphers that does not offer forward secrecy (FS) also known as perfect forward secrecy (PFS). It's a feature that provides assurances the session keys will not be compromised even if the server’s private key is compromised.,"CWE 327, WASC Insufficient Transport Layer Protection, OWASP 2010-A9, 2013-A6, 2017-A3, 2021-A2, 2023-API8, 2019-API7","CVSSV4 BASE SCORE 6.0, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:P/VC:H/VI:L/VA:N/SC:L/SI:L/SA:L, CVSSV3 BASE SCORE 6.5, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N, CVSS BASE SCORE 5.8, CVSS VECTOR CVSS2#AV:N/AC:M/Au:N/C:P/I:P/A:N",SSL/TLS Forward Secrecy Cipher Suites Not Supported,98617,Medium,Reconfigure the server to disable cipher suites without forward secrecy and retain only cipher suites that provide forward secrecy (ECDHE or DHE based cipher suites).
"Scanner has detected server-side source code within the server's response. A modern web application will be reliant on several different programming languages. These languages can be broken up in two flavours. These are client-side languages (such as those that run in the browser -- like JavaScript) and server-side languages (which are executed by the server -- like ASP, PHP, JSP, etc.) to form the dynamic pages (client-side code) that are then sent to the client. Because all server side code should be executed by the server, it should never be seen by the client, however in some scenarios it is possible that the server has a misconfiguration or the server side code has syntax errors, and therefore is not executed by the server but is instead sent to the client. As the server-side source code often contains sensitive information, such as database connection strings or details into the application workflow, this can be extremely risky. Cyber-criminals will attempt to discover pages that either accidentally or forcefully allow the server-side source code to be disclosed, to assist in discovering further vulnerabilities or sensitive information.","CWE 540, WASC Information Leakage","CVSSV4 BASE SCORE 6.9, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N, CVSSV3 BASE SCORE 5.3, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N, CVSS BASE SCORE 5.0, CVSS VECTOR CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N",Server-side Source Code Disclosure,98779,Medium,"It is important that the server does not deliver server side code to the client, and the server misconfiguration or server code should be changed to prevent this."
The scanner detected the presence of a 'PHP' source code in the web application response.,https://juice-shop-16-0-1-178712031365.us-west1.run.app/api-docs/swagger-ui-bundle.js,Disclosure of source code can lead to potential security vulnerabilities and exploitation.,PHP Source Code Disclosure,98779,MEDIUM,Remove the PHP source code from the web application to prevent disclosure.
"According to its self-reported version number, jQuery is at least 1.2.0 and prior to 3.5.0. Therefore, it may be affected by a cross-site scripting vulnerability via the regex operation in jQuery.htmlPrefilter.","{'CWE': '79', 'WASC': 'Cross-Site Scripting', 'OWASP': ['2021-A3', '2021-A6', '2010-A2', '2013-A3', '2013-A9', '2017-A7', '2017-A9', '2019-API7', '2023-API8'], 'CVE': ['CVE-2020-11022', 'CVE-2020-11023'], 'BID': '-'}","{'CVSSV3 BASE SCORE': 6.1, 'CVSSV3 VECTOR': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N', 'CVSS BASE SCORE': 4.3, 'CVSS VECTOR': 'CVSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N'}",jQuery Cross-Site Scripting Vulnerability,112383,Medium,Upgrade to jQuery version 3.5.0 or later.
jQuery 1.2.0 < 3.5.0 Cross-Site Scripting Instances (1),https://juice-shop-16-0-1-178712031365.us-west1.run.app/,Cross-Site Scripting vulnerability allows attackers to inject malicious scripts into web pages viewed by other users.,Cross-Site Scripting,112383,MEDIUM,Upgrade jQuery to version 3.5.0
"According to its self-reported version number, jQuery is at least 1.4.0 and prior to 1.12.0 or at least 1.12.4 and prior to 3.0.0-beta1. Therefore, it may be affected by a cross-site scripting vulnerability due to cross-domain ajax request performed without the dataType.","{'CWE': '79', 'WASC': 'Cross-Site Scripting', 'OWASP': ['2021-A3', '2021-A6', '2010-A2', '2013-A3', '2013-A9', '2017-A7', '2017-A9', '2019-API7', '2023-API8'], 'CVE': 'CVE-2015-9251', 'BID': '105658'}","{'CVSSV3 BASE SCORE': 6.1, 'CVSSV3 VECTOR': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N', 'CVSS BASE SCORE': 4.3, 'CVSS VECTOR': 'CVSS2#AV:N/AC:M/Au:N/C:N/I:P/A:N'}",jQuery Cross-Site Scripting Vulnerability,112435,Medium,Upgrade to jQuery version 3.0.0 or later.
jQuery 1.12.4 < 3.0.0 Cross-Site Scripting Instances,https://juice-shop-16-0-1-178712031365.us-west1.run.app/,Cross-Site Scripting vulnerability allows attackers to inject malicious scripts into web pages viewed by other users,Cross-Site Scripting,112435,MEDIUM,Upgrade jQuery to version 3.0.0 or higher
"OpenAPI specification is an API description format for REST APIs. An OpenAPI file is written in YAML or JSON and describes all the API properties like the available endpoints with the related operations or the authentication methods. The `Schema` object allows the definition of input and output data types which can be objects or primitives and arrays. When some data types properties are missing on objects specified in the definition file, the API implementation could potentially allow malicious input formats, leaving it open to multiple vulnerabilities like Denial of Service (DoS) or Remote Code Execution (RCE). The scanner analyzed an OpenAPI definition file and detected the lack of properties on some data types.","CWE 20, WASC Improper Input Handling, OWASP 2010-A4, 2021-A3, 2013-A4, 2017-A5, 2019-API7, 2023-API8, CVE -, BID -","CVSSV4 BASE SCORE 6.3, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N, CVSSV3 BASE SCORE 5.6, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L, CVSS BASE SCORE 6.8, CVSS VECTOR CVSS2#AV:N/AC:M/Au:N/C:P/I:P/A:P",OpenAPI Permissive Input Validation,113258,Medium,Ensure that the missing properties are declared in the OpenAPI definition file according to the file specification and that the API backend enforces the validation of these properties on the inputs.
The scanner detected the presence of permissive input(s) in the API host(s) used in the detected OpenAPI file.,https://juice-shop-16-0-1-178712031365.us-west1.run.app/api-docs/,Attackers could exploit the lack of input validation to manipulate data and potentially compromise the application.,Permissive Input Validation,113258,MEDIUM,"Implement proper input validation by declaring 'format', 'maxLength', 'pattern', 'maximum', and 'minimum' properties for parameters."
"Prometheus is an open-source monitoring solution which is designed to record metrics in a dimensional data model to make it available through its own PromQL query language or built-in visualization capabilities. Prometheus offer multiple libraries (named 'Exporters') to help exporting these endpoints and make it available to third-party tools. When publicly exposed, a remote and unauthenticated attacker could leverage the data to understand the target application environment and try conducting further attack.","CWE 16, 538, WASC Application Misconfiguration, Predictable Resource Location, OWASP 2021-A5, 2017-A6, 2021-A1, 2013-A5, 2010-A6, 2023-API8, 2023-API3, 2019-API3, 2019-API7","CVSSV4 BASE SCORE 6.9, CVSSV3 BASE SCORE 5.3, CVSS BASE SCORE 5.0",Prometheus Sensitive Endpoint Detected,114012,Medium,Ensure that the detected sensitive endpoint is not publicly available by requiring authentication or applying IP source filtering.
The scanner detected the exposure of a sensitive Prometheus endpoint.,https://juice-shop-16-0-1-178712031365.us-west1.run.app/metrics,Exposure of sensitive information can lead to data breaches and unauthorized access.,Sensitive Prometheus Endpoint Exposure,114012,MEDIUM,Secure the Prometheus endpoint to prevent unauthorized access.
"Cross Origin Resource Sharing (CORS) is an HTML5 technology which gives modern web browsers the ability to bypass restrictions implemented by the Same Origin Policy. The Same Origin Policy requires that both the JavaScript and the page are loaded from the same domain in order to allow JavaScript to interact with the page. This in turn prevents malicious JavaScript being executed when loaded from external domains. The CORS policy allows the application to specify exceptions to the protections implemented by the browser, and enables the developer to specify allowlisted domains for which external JavaScript is permitted to execute and interact with the page. The 'Access-Control-Allow-Origin' header is insecure when set to '*' or null, as it allows any domain to perform cross-domain requests and read responses. An attacker could abuse this configuration to retrieve private content from an application which does not use standard authentication mechanisms (for example, an Intranet allowing access from the internal network only).","https://developer.mozilla.org/en-US/docs/Web/HTTP/Access_control_CORS, https://www.owasp.org/index.php/CORS_OriginHeaderScrutiny","CVSSV4 BASE SCORE 2.1, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N, CVSSV3 BASE SCORE 3.1, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N, CVSS BASE SCORE 2.6, CVSS VECTOR CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N",Insecure 'Access-Control-Allow-Origin' Header,98057,Low,"Unless the target application is specifically designed to serve public content to any domain, the 'Access-Control-Allow-Origin' should be configured with an allowlist including only known and trusted domains to perform cross-domain requests if needed, or should be disabled."
"The web application allows requests from any origin, which can lead to Cross-Origin Resource Sharing (CORS) vulnerabilities.",https://owasp.org/www-community/attacks/csrf,Attackers can exploit this vulnerability to perform Cross-Site Request Forgery (CSRF) attacks.,Access-Control-Allow-Origin Header Misconfiguration,001,Medium,Restrict the Access-Control-Allow-Origin header to only trusted origins.
"The Access-Control-Allow-Origin header is missing, allowing for potential Cross-Origin Resource Sharing (CORS) vulnerabilities.",https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS,This vulnerability could allow attackers to perform cross-site request forgery (CSRF) attacks or access sensitive data from other domains.,Access-Control-Allow-Origin Header Missing,001,High,Ensure that the Access-Control-Allow-Origin header is properly configured to only allow trusted origins.
"Clickjacking (User Interface redress attack, UI redress attack, UI redressing) is a malicious technique of tricking a Web user into clicking on something different from what the user perceives they are clicking on, thus potentially revealing confidential information or taking control of their computer while clicking on seemingly innocuous web pages. The server didn't return an `X-Frame-Options` header which means that this website could be at risk of a clickjacking attack. The `X-Frame-Options` HTTP response header can be used to indicate whether or not a browser should be allowed to render a page inside a frame or iframe. Sites can use this to avoid clickjacking attacks, by ensuring that their content is not embedded into other sites.","CWE 1021, 346, WASC Application Misconfiguration, OWASP 2021-A7, 2017-A6, 2021-A4, 2013-A5, 2010-A6, 2023-API8, 2019-API7, CVE -","CVSSV4 BASE SCORE 2.1, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:N/VI:L/VA:N/SC:L/SI:L/SA:N, CVSSV3 BASE SCORE 3.1, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:N, CVSS BASE SCORE 2.6, CVSS VECTOR CVSS2#AV:N/AC:H/Au:N/C:N/I:P/A:N",Missing 'X-Frame-Options' Header,98060,Low,Configure your web server to include an `X-Frame-Options` header.
"The HttpOnly flag assists in the prevention of client side-scripts (such as JavaScript) from accessing and using the cookie. This can help prevent XSS attacks from targeting the cookies holding the client's session token (setting the HttpOnly flag does not prevent, nor safeguard against XSS vulnerabilities themselves).","CWE 1004, WASC Application Misconfiguration, OWASP 2010-A9, 2013-A6, 2017-A3, 2021-A5, CVE -, BID -","CVSSV4 BASE SCORE 2.1, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N, CVSSV3 BASE SCORE 3.1, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N, CVSS BASE SCORE 2.6, CVSS VECTOR CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N",Cookie Without HttpOnly Flag Detected,98063,Low,"The initial step to remedy this would be to determine whether any client-side scripts (such as JavaScript) need to access the cookie and if not, set the HttpOnly flag. It should be noted that some older browsers are not compatible with the HttpOnly flag; therefore, setting this flag will not protect those clients against this form of attack."
The scanner detected a cookie named 'language' set with JavaScript which prevents the HTTPOnly attribute from being used.,https://owasp.org/www-community/HttpOnly,Sensitive information stored in cookies may be vulnerable to theft by malicious scripts.,Cookie Missing HTTPOnly Attribute,001,Medium,"If the cookie is set to handle sensitive information (for example session-based information), it should be set via the HTTP method."
"The scanner detected a cookie named 'continueCode' set with JavaScript which prevents the HTTPOnly attribute from being used. If the cookie is set to handle sensitive information (for example session-based information), it should be set via the HTTP method.",https://owasp.org/www-community/HttpOnly,Potential for sensitive information leakage,Missing HTTPOnly attribute in cookie,001,Medium,Ensure that the 'continueCode' cookie is set with the HTTPOnly attribute to prevent client-side scripts from accessing it.
